               svt |     none|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
sensorPhysical1_m1_s1_r1 |      svt|  -0.0000*cm  -6.5292*cm -16.4848*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s1_r1 |      svt|  -0.0000*cm  -6.5292*cm  -5.3112*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s1_r1 |      svt|  -0.0000*cm  -6.5292*cm   5.8625*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s1_r1 |      svt|  -0.0000*cm  -6.8774*cm -16.4848*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s1_r1 |      svt|  -0.0000*cm  -6.8774*cm  -5.3112*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s1_r1 |      svt|  -0.0000*cm  -6.8774*cm   5.8625*cm| ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s2_r1 |      svt|  -3.8378*cm  -5.2822*cm -16.4848*cm| ordered: zyx  -144.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s2_r1 |      svt|  -3.8378*cm  -5.2822*cm  -5.3112*cm| ordered: zyx  -144.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s2_r1 |      svt|  -3.8378*cm  -5.2822*cm   5.8625*cm| ordered: zyx  -144.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s2_r1 |      svt|  -4.0424*cm  -5.5639*cm -16.4848*cm| ordered: zyx  -144.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
