sensorPhysical1_m1_s1_r1  |                root  |SVT Physical Sensor 1, Module 1, Sector 1, Region 1  |                -0.0000*cm  -6.5292*cm -16.4848*cm  |ordered: zyx 0*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 1 module manual 1 strip manual 1 
sensorPhysical2_m1_s1_r1  |                root  |SVT Physical Sensor 2, Module 1, Sector 1, Region 1  |                -0.0000*cm  -6.5292*cm  -5.3112*cm  |ordered: zyx 0*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 1 module manual 2 strip manual 1 
sensorPhysical3_m1_s1_r1  |                root  |SVT Physical Sensor 3, Module 1, Sector 1, Region 1  |                -0.0000*cm  -6.5292*cm   5.8625*cm  |ordered: zyx 0*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 1 module manual 3 strip manual 1 
sensorPhysical1_m2_s1_r1  |                root  |SVT Physical Sensor 1, Module 2, Sector 1, Region 1  |                -0.0000*cm  -6.8774*cm -16.4848*cm  |ordered: zyx 0*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 1 module manual 1 strip manual 1 
sensorPhysical2_m2_s1_r1  |                root  |SVT Physical Sensor 2, Module 2, Sector 1, Region 1  |                -0.0000*cm  -6.8774*cm  -5.3112*cm  |ordered: zyx 0*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 1 module manual 2 strip manual 1 
sensorPhysical3_m2_s1_r1  |                root  |SVT Physical Sensor 3, Module 2, Sector 1, Region 1  |                -0.0000*cm  -6.8774*cm   5.8625*cm  |ordered: zyx 0*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 1 module manual 3 strip manual 1 
sensorPhysical1_m1_s2_r1  |                root  |SVT Physical Sensor 1, Module 1, Sector 2, Region 1  |                -3.8378*cm  -5.2822*cm -16.4848*cm  |ordered: zyx 36*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 2 module manual 1 strip manual 1 
sensorPhysical2_m1_s2_r1  |                root  |SVT Physical Sensor 2, Module 1, Sector 2, Region 1  |                -3.8378*cm  -5.2822*cm  -5.3112*cm  |ordered: zyx 36*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 2 module manual 2 strip manual 1 
sensorPhysical3_m1_s2_r1  |                root  |SVT Physical Sensor 3, Module 1, Sector 2, Region 1  |                -3.8378*cm  -5.2822*cm   5.8625*cm  |ordered: zyx 36*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 2 module manual 3 strip manual 1 
sensorPhysical1_m2_s2_r1  |                root  |SVT Physical Sensor 1, Module 2, Sector 2, Region 1  |                -4.0424*cm  -5.5639*cm -16.4848*cm  |ordered: zyx 36*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 2 module manual 1 strip manual 1 
sensorPhysical2_m2_s2_r1  |                root  |SVT Physical Sensor 2, Module 2, Sector 2, Region 1  |                -4.0424*cm  -5.5639*cm  -5.3112*cm  |ordered: zyx 36*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.1000*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 2 segment manual 2 module manual 2 strip manual 1 
