          region1_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 0  |                        98.2535*cm 0*cm 216.378*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.0892*cm -25*deg 90*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 0  |                49.12675*cm 85.09003*cm 216.378*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.0892*cm -25*deg 90*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 0  |               -49.12675*cm 85.09003*cm 216.378*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.0892*cm -25*deg 90*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 0  |                       -98.2535*cm 0*cm 216.378*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.0892*cm -25*deg 90*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 0  |              -49.12675*cm -85.09003*cm 216.378*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.0892*cm -25*deg 90*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 0  |               49.12675*cm -85.09003*cm 216.378*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.0892*cm -25*deg 90*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg 92.4337*cm 6.7520539468798*cm 99.5039260531202*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 1  |                        158.357*cm 0*cm 328.929*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.4852*cm -25*deg 90*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 1  |                79.1785*cm 137.14118*cm 328.929*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.4852*cm -25*deg 90*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 1  |               -79.1785*cm 137.14118*cm 328.929*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.4852*cm -25*deg 90*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 1  |                       -158.357*cm 0*cm 328.929*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.4852*cm -25*deg 90*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 1  |              -79.1785*cm -137.14118*cm 328.929*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.4852*cm -25*deg 90*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 1  |               79.1785*cm -137.14118*cm 328.929*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.4852*cm -25*deg 90*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg 147.623*cm 6.21277933936007*cm 159.92401066064*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 2  |                        215.118*cm 0*cm 417.979*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.27*cm -25*deg 90*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 2  |                107.559*cm 186.29765*cm 417.979*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.27*cm -25*deg 90*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 2  |               -107.559*cm 186.29765*cm 417.979*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.27*cm -25*deg 90*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 2  |                       -215.118*cm 0*cm 417.979*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.27*cm -25*deg 90*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 2  |              -107.559*cm -186.29765*cm 417.979*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.27*cm -25*deg 90*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 2  |               107.559*cm -186.29765*cm 417.979*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |19.27*cm -25*deg 90*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg 202.133*cm 14.1633372914082*cm 222.880262708592*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       sl1_layer1_s1  |          region1_s1  |Region 0, Super Layer 1, layer 1, Sector 1  |                 -2.5084*cm -5.71089*cm -8.3906*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s2  |          region1_s2  |Region 0, Super Layer 1, layer 1, Sector 2  |                 -2.5084*cm -5.71089*cm -8.3906*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s3  |          region1_s3  |Region 0, Super Layer 1, layer 1, Sector 3  |                 -2.5084*cm -5.71089*cm -8.3906*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s4  |          region1_s4  |Region 0, Super Layer 1, layer 1, Sector 4  |                 -2.5084*cm -5.71089*cm -8.3906*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s5  |          region1_s5  |Region 0, Super Layer 1, layer 1, Sector 5  |                 -2.5084*cm -5.71089*cm -8.3906*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 1 wire manual 1 
       sl1_layer1_s6  |          region1_s6  |Region 0, Super Layer 1, layer 1, Sector 6  |                 -2.5084*cm -5.71089*cm -8.3906*cm  |                       0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.5693*cm -25*deg 90*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg 75.5877*cm 7.4988*cm 86.1008*cm -7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 1 wire manual 1 
