          region1_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 1  |                98.2535*cm   0.0000*cm 216.3785*cm  |ordered: zxy   90.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 1  |                49.1267*cm  85.0900*cm 216.3785*cm  |ordered: zxy   30.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 1  |               -49.1267*cm  85.0900*cm 216.3785*cm  |ordered: zxy  -30.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 1  |               -98.2535*cm   0.0000*cm 216.3785*cm  |ordered: zxy  -90.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 1  |               -49.1267*cm -85.0900*cm 216.3785*cm  |ordered: zxy  -150.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 1  |                49.1267*cm -85.0900*cm 216.3785*cm  |ordered: zxy  -210.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |9.0892*cm    -25.0000*deg     90.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg     92.4337*cm      5.4006*cm     99.5554*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 2  |               158.3575*cm   0.0000*cm 328.9285*cm  |ordered: zxy   90.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |16.4853*cm    -25.0000*deg     90.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 2  |                79.1787*cm 137.1416*cm 328.9285*cm  |ordered: zxy   30.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |16.4853*cm    -25.0000*deg     90.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 2  |               -79.1787*cm 137.1416*cm 328.9285*cm  |ordered: zxy  -30.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |16.4853*cm    -25.0000*deg     90.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 2  |              -158.3575*cm   0.0000*cm 328.9285*cm  |ordered: zxy  -90.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |16.4853*cm    -25.0000*deg     90.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 2  |              -79.1787*cm -137.1416*cm 328.9285*cm  |ordered: zxy  -150.0000*deg   25.0000*deg    0.0000*deg  | aa0000   |              G4Trap  |16.4853*cm    -25.0000*deg     90.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg    147.6233*cm      6.1917*cm    159.9454*cm      0.0000*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
