                 BMT  |                root  |Barrel Micromegas Vertex Tracker  |                                  0*mm 0*mm -83*mm  |                       0*deg 0*deg 0*deg  |aaaaff3   |                Tube  |              140.000*mm 240.000*mm 385.000*mm 0*deg 360*deg  |               myAir  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_coverlay_C_Layer1_Segment01  |                 BMT  |coverlay C, Layer 1,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |fff6004   |                Tube  |145.731*mm 145.781*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_coverlay_C_Layer1_Segment02  |                 BMT  |coverlay C, Layer 1,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |fff6004   |                Tube  |145.731*mm 145.781*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_coverlay_C_Layer1_Segment03  |                 BMT  |coverlay C, Layer 1,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |fff6004   |                Tube  |145.731*mm 145.781*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_C_Layer1_Segment01  |                 BMT  |CuGround C, Layer 1,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |6666004   |                Tube  |145.781*mm 145.782584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_C_Layer1_Segment02  |                 BMT  |CuGround C, Layer 1,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |6666004   |                Tube  |145.781*mm 145.782584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_C_Layer1_Segment03  |                 BMT  |CuGround C, Layer 1,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |6666004   |                Tube  |145.781*mm 145.782584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_C_Layer1_Segment01  |                 BMT  |   PCB C, Layer 1,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |0000ff4   |                Tube  |145.782584*mm 145.882584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_C_Layer1_Segment02  |                 BMT  |   PCB C, Layer 1,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |0000ff4   |                Tube  |145.782584*mm 145.882584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |               myFR4  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_C_Layer1_Segment03  |                 BMT  |   PCB C, Layer 1,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |0000ff4   |                Tube  |145.782584*mm 145.882584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |               myFR4  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         FMT_Strips1  |                 FMT  |              Strips, Layer 1,  |                              0*mm 0*mm -29.339*mm  |                       0*deg 0*deg 0*deg  |3535404   |                Tube  |                 42.000*mm 185.000*mm 0.006*mm 0*deg 360*deg  |       myfmtMMStrips  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         FMT_Kapton1  |                 FMT  |              Kapton, Layer 1,  |                              0*mm 0*mm -29.308*mm  |                       0*deg 0*deg 0*deg  |fff6004   |                Tube  |                 42.000*mm 185.000*mm 0.025*mm 0*deg 360*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
FMT_Resistiv_Strips1  |                 FMT  |     Resistiv Strips, Layer 1,  |                              0*mm 0*mm -29.273*mm  |                       0*deg 0*deg 0*deg  |0000004   |                Tube  |                  42.000*mm 185.000*mm 0.01*mm 0*deg 360*deg  |    myfmtResistPaste  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Gas11  |                 FMT  |                Gas1, Layer 1,  |                              0*mm 0*mm -29.199*mm  |                       0*deg 0*deg 0*deg  |e100002   |                Tube  |                 48.000*mm 193.000*mm 0.064*mm 0*deg 360*deg  |          myfmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Mesh1  |                 FMT  |                Mesh, Layer 1,  |                              0*mm 0*mm -29.126*mm  |                       0*deg 0*deg 0*deg  |2520205   |                Tube  |                 39.000*mm 204.000*mm 0.009*mm 0*deg 360*deg  |         myfmtMMMesh  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Gas21  |                 FMT  |                Gas2, Layer 1,  |                              0*mm 0*mm -26.553*mm  |                       0*deg 0*deg 0*deg  |e100002   |                Tube  |                   39.000*mm 195.000*mm 2.5*mm 0*deg 360*deg  |          myfmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                 fmt  |                 fmt  |superlayer manual 1 type manual 1 segment manual 1 strip manual 1 
BMT_DriftCuElectrode_C_Layer1_Segment01  |                 BMT  |DriftCuElectrode C, Layer 1,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |6666004   |                Tube  |149.135584*mm 149.140584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_C_Layer1_Segment02  |                 BMT  |DriftCuElectrode C, Layer 1,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |6666004   |                Tube  |149.135584*mm 149.140584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_C_Layer1_Segment03  |                 BMT  |DriftCuElectrode C, Layer 1,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |6666004   |                Tube  |149.135584*mm 149.140584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_C_Layer1_Segment01  |                 BMT  |DriftKapton C, Layer 1,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |fff6004   |                Tube  |149.140584*mm 149.390584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_C_Layer1_Segment02  |                 BMT  |DriftKapton C, Layer 1,  Segment 02  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -270*deg  |fff6004   |                Tube  |149.140584*mm 149.390584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_C_Layer1_Segment03  |                 BMT  |DriftKapton C, Layer 1,  Segment 03  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -390*deg  |fff6004   |                Tube  |149.140584*mm 149.390584*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuGround_C_Layer1_Segment01  |                 BMT  |DriftCuGround C, Layer 1,  Segment 01  |                              0*mm 0*mm 141.555*mm  |                    0*deg 0*deg -150*deg  |6666004   |                Tube  |149.390584*mm 149.390994*mm 186.375*mm 3.93161232086934*deg 112.136775358261*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
