                 bmt  |                root  |Barrel Micromegas Vertex Tracker  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | aaaaff   |                Tube  |              200.000*mm 235.000*mm 295.000*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
               SL2_5  |                 bmt  |                 Super Layer 5  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | aaaaff   |                Tube  |              204.731*mm 210.731*mm 295.000*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
               SL2_6  |                 bmt  |                 Super Layer 6  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | aaaaff   |                Tube  |              219.731*mm 225.731*mm 295.000*mm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_coverlay_Z_Layer5_Segment01  |               SL2_5  |coverlay Z, Layer 5,  Segment 01  |                                0*mm 0*mm 52.77*mm  |                      0*deg 0*deg 90*deg  | fff600   |                Tube  |205.731*mm 205.781*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_coverlay_Z_Layer5_Segment02  |               SL2_5  |coverlay Z, Layer 5,  Segment 02  |                                0*mm 0*mm 52.77*mm  |                     0*deg 0*deg -30*deg  | fff600   |                Tube  |205.731*mm 205.781*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_coverlay_Z_Layer5_Segment03  |               SL2_5  |coverlay Z, Layer 5,  Segment 03  |                                0*mm 0*mm 52.77*mm  |                    0*deg 0*deg -150*deg  | fff600   |                Tube  |205.731*mm 205.781*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer5_Segment01  |               SL2_5  |CuGround Z, Layer 5,  Segment 01  |                                0*mm 0*mm 52.77*mm  |                      0*deg 0*deg 90*deg  | 666600   |                Tube  |205.781*mm 205.781984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer5_Segment02  |               SL2_5  |CuGround Z, Layer 5,  Segment 02  |                                0*mm 0*mm 52.77*mm  |                     0*deg 0*deg -30*deg  | 666600   |                Tube  |205.781*mm 205.781984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuGround_Z_Layer5_Segment03  |               SL2_5  |CuGround Z, Layer 5,  Segment 03  |                                0*mm 0*mm 52.77*mm  |                    0*deg 0*deg -150*deg  | 666600   |                Tube  |205.781*mm 205.781984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer5_Segment01  |               SL2_5  |   PCB Z, Layer 5,  Segment 01  |                                0*mm 0*mm 52.77*mm  |                      0*deg 0*deg 90*deg  | 0000ff   |                Tube  |205.781984*mm 205.881984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |               myFR4  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer5_Segment02  |               SL2_5  |   PCB Z, Layer 5,  Segment 02  |                                0*mm 0*mm 52.77*mm  |                     0*deg 0*deg -30*deg  | 0000ff   |                Tube  |205.781984*mm 205.881984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |               myFR4  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer5_Segment03  |               SL2_5  |   PCB Z, Layer 5,  Segment 03  |                                0*mm 0*mm 52.77*mm  |                    0*deg 0*deg -150*deg  | 0000ff   |                Tube  |205.781984*mm 205.881984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |               myFR4  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_Z_Layer5_Segment01  |               SL2_5  |CuStrips Z, Layer 5,  Segment 01  |                                0*mm 0*mm 52.77*mm  |                      0*deg 0*deg 90*deg  | 353540   |                Tube  |205.881984*mm 205.893984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |     mybmtz6MMStrips  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_Z_Layer5_Segment02  |               SL2_5  |CuStrips Z, Layer 5,  Segment 02  |                                0*mm 0*mm 52.77*mm  |                     0*deg 0*deg -30*deg  | 353540   |                Tube  |205.881984*mm 205.893984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |     mybmtz6MMStrips  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_CuStrips_Z_Layer5_Segment03  |               SL2_5  |CuStrips Z, Layer 5,  Segment 03  |                                0*mm 0*mm 52.77*mm  |                    0*deg 0*deg -150*deg  | 353540   |                Tube  |205.881984*mm 205.893984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |     mybmtz6MMStrips  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_KaptonStrips_Z_Layer5_Segment01  |               SL2_5  |KaptonStrips Z, Layer 5,  Segment 01  |                                0*mm 0*mm 52.77*mm  |                      0*deg 0*deg 90*deg  | fff600   |                Tube  |205.893984*mm 205.968984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_KaptonStrips_Z_Layer5_Segment02  |               SL2_5  |KaptonStrips Z, Layer 5,  Segment 02  |                                0*mm 0*mm 52.77*mm  |                     0*deg 0*deg -30*deg  | fff600   |                Tube  |205.893984*mm 205.968984*mm 222.48*mm 2.7849852240674*deg 114.430029551865*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
