                ftof  |              bankid  |                                      ftof bank ID  | 1000   |                  Di  
                ftof  |              sector  |                                     sector number  |    1   |                  Di  
                ftof  |               layer  |                layer number (1: 1A, 2: 1B, 3: 2B)  |    2   |                  Di  
                ftof  |              paddle  |                                     paddle number  |    3   |                  Di  
                ftof  |                ADCL  |                                          ADC Left  |    4   |                  Di  
                ftof  |                ADCR  |                                         ADC Right  |    5   |                  Di  
                ftof  |                TDCL  |                                          TDC Left  |    6   |                  Di  
                ftof  |                TDCR  |                                         TDC Right  |    7   |                  Di  
                ftof  |               ADCLu  |                             ADC Left  - unsmeared  |    8   |                  Di  
                ftof  |               ADCRu  |                             ADC Right - unsmeared  |    9   |                  Di  
                ftof  |               TDCLu  |                             TDC Left  - unsmeared  |   10   |                  Di  
                ftof  |               TDCRu  |                             TDC Right - unsmeared  |   11   |                  Di  
                ftof  |                hitn  |                                        hit number  |   99   |                  Di  
