M1a             |    1907.810   | mm     |   Semi-major axis of HTCC mirror 1                      |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
M1b             |    1728.673   | mm     |   Semi-minor axis of HTCC mirror 1                      |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
M2a             |    1846.155   | mm     |   Semi-major axis of HTCC mirror 2                      |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
M2b             |    1612.998   | mm     |   Semi-minor axis of HTCC mirror 2                      |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
M3a             |    1786.859   | mm     |   Semi-major axis of HTCC mirror 3                      |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
M3b             |    1497.604   | mm     |   Semi-minor axis of HTCC mirror 3                      |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
M4a             |    1728.375   | mm     |   Semi-major axis of HTCC mirror 4                      |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
M4b             |    1383.621   | mm     |   Semi-minor axis of HTCC mirror 4                      |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
yfp1            |    1613.0299  | mm     |   Focal Point y coordinate mirror 1                     |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
yfp2            |    1788.6919  | mm     |   Focal Point y coordinate mirror 2                     |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
yfp3            |    1902.4068  | mm     |   Focal Point y coordinate mirror 3                     |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
yfp4            |    1946.9473  | mm     |   Focal Point y coordinate mirror 4                     |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
zfp1            |     -62.0467  | mm     |   Focal Point z coordinate mirror 1                     |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
zfp2            |     163.3327  | mm     |   Focal Point z coordinate mirror 2                     |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
zfp3            |     425.4815  | mm     |   Focal Point z coordinate mirror 3                     |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
zfp4            |     707.7389  | mm     |   Focal Point z coordinate mirror 4                     |    A. J. R. Puckett  |   puckett@jlab.org   |   link to PDF   |   varname in drawing   |   drawing authors   |   5/24/2012
