                 bst  |              bankid  |                                       bst bank ID  |  100   |                  Di  
                 bst  |               layer  |                                      layer number  |    1   |                  Di  
                 bst  |              sector  |                                     sector number  |    2   |                  Di  
                 bst  |               strip  |                                      strip number  |    3   |                  Di  
                 bst  |                 ADC  |                                         3 bit ADC  |    4   |                  Di  
                 bst  |                 bco  |                                   8 bit time info  |    5   |                  Di  
                 bst  |               ADCHD  |                                        13 bit ADC  |    6   |                  Di  
                 bst  |                time  |                                  Time information  |    7   |                  Dd  
                 bst  |                hitn  |                                        hit number  |   99   |                  Di  
                 bst  |              bankid  |                                       bst bank ID  |  100   |                  Di  
                 bst  |               layer  |                                      layer number  |    1   |                  Di  
                 bst  |              sector  |                                     sector number  |    2   |                  Di  
                 bst  |               strip  |                                      strip number  |    3   |                  Di  
                 bst  |                 ADC  |                                         3 bit ADC  |    4   |                  Di  
                 bst  |                 bco  |                                   8 bit time info  |    5   |                  Di  
                 bst  |               ADCHD  |                                        13 bit ADC  |    6   |                  Di  
                 bst  |                time  |                                  Time information  |    7   |                  Dd  
                 bst  |                hitn  |                                        hit number  |   99   |                  Di  
