        region1_s1 |       fc | 97.150572*cm 0.000000*cm 216.937839*cm | ordered: zxy 90.0*deg 25.0*deg 0.0*deg |   G4Trap | 9.088990105055224*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.8235394312132*cm 4.5099049558083175*cm 98.03899965198666*cm 0.0*rad 91.8235394312132*cm 4.5099049558083175*cm 98.03899965198666*cm 0.0*rad  |    1   1   0   0
     sl1_layer1_s1 | region1_s1 | -2.457438*cm -5.207774*cm -8.390510*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 6.55210156257746*cm 85.14597297425938*cm -0.13234748605531266*rad 75.57990956035776*cm 6.55210156257746*cm 85.14597297425938*cm -0.13234748605531266*rad  |    1   1   1   1
     sl1_layer2_s1 | region1_s1 | -2.453770*cm -5.880692*cm -7.232030*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 6.483677620940216*cm 85.07754903262214*cm -0.13234748605531266*rad 75.57990956035776*cm 6.483677620940216*cm 85.07754903262214*cm -0.13234748605531266*rad  |    1   1   1   2
     sl1_layer3_s1 | region1_s1 | -2.487382*cm -5.204627*cm -6.073550*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 7.110774665247061*cm 85.70464607692898*cm -0.13234748605531266*rad 75.57990956035776*cm 7.110774665247061*cm 85.70464607692898*cm -0.13234748605531266*rad  |    1   1   1   3
     sl1_layer4_s1 | region1_s1 | -2.483714*cm -5.877545*cm -4.915070*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035778*cm 7.042350723609818*cm 85.63622213529173*cm -0.13234748605531266*rad 75.57990956035778*cm 7.042350723609818*cm 85.63622213529173*cm -0.13234748605531266*rad  |    1   1   1   4
     sl1_layer5_s1 | region1_s1 | -2.517326*cm -5.201479*cm -3.756590*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035778*cm 7.669447767916665*cm 86.2633191795986*cm -0.13234748605531266*rad 75.57990956035778*cm 7.669447767916665*cm 86.2633191795986*cm -0.13234748605531266*rad  |    1   1   1   5
     sl1_layer6_s1 | region1_s1 | -2.513658*cm -5.874398*cm -2.598110*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035778*cm 7.601023826279421*cm 86.19489523796135*cm -0.13234748605531266*rad 75.57990956035778*cm 7.601023826279421*cm 86.19489523796135*cm -0.13234748605531266*rad  |    1   1   1   6
     sl2_layer1_s1 | region1_s1 | 2.557954*cm -6.542950*cm 2.273032*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11462620103089*cm 6.589623481018634*cm 88.85916831900893*cm 0.13234748605531266*rad 79.11462620103089*cm 6.589623481018634*cm 88.85916831900893*cm 0.13234748605531266*rad  |    1   1   2   1
     sl2_layer2_s1 | region1_s1 | 2.554115*cm -7.247339*cm 3.485691*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 6.517999492615887*cm 88.7875443306062*cm 0.13234748605531266*rad 79.1146262010309*cm 6.517999492615887*cm 88.7875443306062*cm 0.13234748605531266*rad  |    1   1   2   2
     sl2_layer3_s1 | region1_s1 | 2.589299*cm -6.539655*cm 4.698351*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.17442457357589*cm 89.44396941156619*cm 0.13234748605531266*rad 79.1146262010309*cm 7.17442457357589*cm 89.44396941156619*cm 0.13234748605531266*rad  |    1   1   2   3
     sl2_layer4_s1 | region1_s1 | 2.585460*cm -7.244045*cm 5.911011*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.102800585173145*cm 89.37234542316345*cm 0.13234748605531288*rad 79.1146262010309*cm 7.102800585173145*cm 89.37234542316345*cm 0.13234748605531288*rad  |    1   1   2   4
     sl2_layer5_s1 | region1_s1 | 2.620643*cm -6.536361*cm 7.123671*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.759225666133147*cm 90.02877050412344*cm 0.13234748605531266*rad 79.1146262010309*cm 7.759225666133147*cm 90.02877050412344*cm 0.13234748605531266*rad  |    1   1   2   5
     sl2_layer6_s1 | region1_s1 | 2.616804*cm -7.240750*cm 8.336330*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.687601677730399*cm 89.95714651572071*cm 0.13234748605531266*rad 79.1146262010309*cm 7.687601677730399*cm 89.95714651572071*cm 0.13234748605531266*rad  |    1   1   2   6
        region1_s2 |       fc | 48.575286*cm 84.134863*cm 216.937839*cm | ordered: zxy 29.999999999999996*deg 25.0*deg 0.0*deg |   G4Trap | 9.088990105055224*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.8235394312132*cm 4.5099049558083175*cm 98.03899965198666*cm 0.0*rad 91.8235394312132*cm 4.5099049558083175*cm 98.03899965198666*cm 0.0*rad  |    2   1   0   0
     sl1_layer1_s2 | region1_s2 | -2.457438*cm -5.207774*cm -8.390510*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 6.55210156257746*cm 85.14597297425938*cm -0.13234748605531266*rad 75.57990956035776*cm 6.55210156257746*cm 85.14597297425938*cm -0.13234748605531266*rad  |    2   1   1   1
     sl1_layer2_s2 | region1_s2 | -2.453770*cm -5.880692*cm -7.232030*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 6.483677620940216*cm 85.07754903262214*cm -0.13234748605531266*rad 75.57990956035776*cm 6.483677620940216*cm 85.07754903262214*cm -0.13234748605531266*rad  |    2   1   1   2
     sl1_layer3_s2 | region1_s2 | -2.487382*cm -5.204627*cm -6.073550*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 7.110774665247061*cm 85.70464607692898*cm -0.13234748605531266*rad 75.57990956035776*cm 7.110774665247061*cm 85.70464607692898*cm -0.13234748605531266*rad  |    2   1   1   3
     sl1_layer4_s2 | region1_s2 | -2.483714*cm -5.877545*cm -4.915070*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035778*cm 7.042350723609818*cm 85.63622213529173*cm -0.13234748605531266*rad 75.57990956035778*cm 7.042350723609818*cm 85.63622213529173*cm -0.13234748605531266*rad  |    2   1   1   4
     sl1_layer5_s2 | region1_s2 | -2.517326*cm -5.201479*cm -3.756590*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035778*cm 7.669447767916665*cm 86.2633191795986*cm -0.13234748605531266*rad 75.57990956035778*cm 7.669447767916665*cm 86.2633191795986*cm -0.13234748605531266*rad  |    2   1   1   5
     sl1_layer6_s2 | region1_s2 | -2.513658*cm -5.874398*cm -2.598110*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035778*cm 7.601023826279421*cm 86.19489523796135*cm -0.13234748605531266*rad 75.57990956035778*cm 7.601023826279421*cm 86.19489523796135*cm -0.13234748605531266*rad  |    2   1   1   6
     sl2_layer1_s2 | region1_s2 | 2.557954*cm -6.542950*cm 2.273032*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11462620103089*cm 6.589623481018634*cm 88.85916831900893*cm 0.13234748605531266*rad 79.11462620103089*cm 6.589623481018634*cm 88.85916831900893*cm 0.13234748605531266*rad  |    2   1   2   1
     sl2_layer2_s2 | region1_s2 | 2.554115*cm -7.247339*cm 3.485691*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 6.517999492615887*cm 88.7875443306062*cm 0.13234748605531266*rad 79.1146262010309*cm 6.517999492615887*cm 88.7875443306062*cm 0.13234748605531266*rad  |    2   1   2   2
     sl2_layer3_s2 | region1_s2 | 2.589299*cm -6.539655*cm 4.698351*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.17442457357589*cm 89.44396941156619*cm 0.13234748605531266*rad 79.1146262010309*cm 7.17442457357589*cm 89.44396941156619*cm 0.13234748605531266*rad  |    2   1   2   3
     sl2_layer4_s2 | region1_s2 | 2.585460*cm -7.244045*cm 5.911011*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.102800585173145*cm 89.37234542316345*cm 0.13234748605531288*rad 79.1146262010309*cm 7.102800585173145*cm 89.37234542316345*cm 0.13234748605531288*rad  |    2   1   2   4
     sl2_layer5_s2 | region1_s2 | 2.620643*cm -6.536361*cm 7.123671*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.759225666133147*cm 90.02877050412344*cm 0.13234748605531266*rad 79.1146262010309*cm 7.759225666133147*cm 90.02877050412344*cm 0.13234748605531266*rad  |    2   1   2   5
     sl2_layer6_s2 | region1_s2 | 2.616804*cm -7.240750*cm 8.336330*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.687601677730399*cm 89.95714651572071*cm 0.13234748605531266*rad 79.1146262010309*cm 7.687601677730399*cm 89.95714651572071*cm 0.13234748605531266*rad  |    2   1   2   6
        region1_s3 |       fc | -48.575286*cm 84.134863*cm 216.937839*cm | ordered: zxy -29.999999999999996*deg 25.0*deg 0.0*deg |   G4Trap | 9.088990105055224*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.8235394312132*cm 4.5099049558083175*cm 98.03899965198666*cm 0.0*rad 91.8235394312132*cm 4.5099049558083175*cm 98.03899965198666*cm 0.0*rad  |    3   1   0   0
     sl1_layer1_s3 | region1_s3 | -2.457438*cm -5.207774*cm -8.390510*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 6.55210156257746*cm 85.14597297425938*cm -0.13234748605531266*rad 75.57990956035776*cm 6.55210156257746*cm 85.14597297425938*cm -0.13234748605531266*rad  |    3   1   1   1
     sl1_layer2_s3 | region1_s3 | -2.453770*cm -5.880692*cm -7.232030*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 6.483677620940216*cm 85.07754903262214*cm -0.13234748605531266*rad 75.57990956035776*cm 6.483677620940216*cm 85.07754903262214*cm -0.13234748605531266*rad  |    3   1   1   2
     sl1_layer3_s3 | region1_s3 | -2.487382*cm -5.204627*cm -6.073550*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 7.110774665247061*cm 85.70464607692898*cm -0.13234748605531266*rad 75.57990956035776*cm 7.110774665247061*cm 85.70464607692898*cm -0.13234748605531266*rad  |    3   1   1   3
     sl1_layer4_s3 | region1_s3 | -2.483714*cm -5.877545*cm -4.915070*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035778*cm 7.042350723609818*cm 85.63622213529173*cm -0.13234748605531266*rad 75.57990956035778*cm 7.042350723609818*cm 85.63622213529173*cm -0.13234748605531266*rad  |    3   1   1   4
     sl1_layer5_s3 | region1_s3 | -2.517326*cm -5.201479*cm -3.756590*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035778*cm 7.669447767916665*cm 86.2633191795986*cm -0.13234748605531266*rad 75.57990956035778*cm 7.669447767916665*cm 86.2633191795986*cm -0.13234748605531266*rad  |    3   1   1   5
     sl1_layer6_s3 | region1_s3 | -2.513658*cm -5.874398*cm -2.598110*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035778*cm 7.601023826279421*cm 86.19489523796135*cm -0.13234748605531266*rad 75.57990956035778*cm 7.601023826279421*cm 86.19489523796135*cm -0.13234748605531266*rad  |    3   1   1   6
     sl2_layer1_s3 | region1_s3 | 2.557954*cm -6.542950*cm 2.273032*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.11462620103089*cm 6.589623481018634*cm 88.85916831900893*cm 0.13234748605531266*rad 79.11462620103089*cm 6.589623481018634*cm 88.85916831900893*cm 0.13234748605531266*rad  |    3   1   2   1
     sl2_layer2_s3 | region1_s3 | 2.554115*cm -7.247339*cm 3.485691*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 6.517999492615887*cm 88.7875443306062*cm 0.13234748605531266*rad 79.1146262010309*cm 6.517999492615887*cm 88.7875443306062*cm 0.13234748605531266*rad  |    3   1   2   2
     sl2_layer3_s3 | region1_s3 | 2.589299*cm -6.539655*cm 4.698351*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.17442457357589*cm 89.44396941156619*cm 0.13234748605531266*rad 79.1146262010309*cm 7.17442457357589*cm 89.44396941156619*cm 0.13234748605531266*rad  |    3   1   2   3
     sl2_layer4_s3 | region1_s3 | 2.585460*cm -7.244045*cm 5.911011*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.102800585173145*cm 89.37234542316345*cm 0.13234748605531288*rad 79.1146262010309*cm 7.102800585173145*cm 89.37234542316345*cm 0.13234748605531288*rad  |    3   1   2   4
     sl2_layer5_s3 | region1_s3 | 2.620643*cm -6.536361*cm 7.123671*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.759225666133147*cm 90.02877050412344*cm 0.13234748605531266*rad 79.1146262010309*cm 7.759225666133147*cm 90.02877050412344*cm 0.13234748605531266*rad  |    3   1   2   5
     sl2_layer6_s3 | region1_s3 | 2.616804*cm -7.240750*cm 8.336330*cm | ordered: yxz 0.0*deg 0.0*deg -6.0*deg |   G4Trap | 0.596329877000024*cm -0.4363323129985824*rad 1.5707963267948966*rad 79.1146262010309*cm 7.687601677730399*cm 89.95714651572071*cm 0.13234748605531266*rad 79.1146262010309*cm 7.687601677730399*cm 89.95714651572071*cm 0.13234748605531266*rad  |    3   1   2   6
        region1_s4 |       fc | -97.150572*cm 0.000000*cm 216.937839*cm | ordered: zxy -90.0*deg 25.0*deg 0.0*deg |   G4Trap | 9.088990105055224*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.8235394312132*cm 4.5099049558083175*cm 98.03899965198666*cm 0.0*rad 91.8235394312132*cm 4.5099049558083175*cm 98.03899965198666*cm 0.0*rad  |    4   1   0   0
     sl1_layer1_s4 | region1_s4 | -2.457438*cm -5.207774*cm -8.390510*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 6.55210156257746*cm 85.14597297425938*cm -0.13234748605531266*rad 75.57990956035776*cm 6.55210156257746*cm 85.14597297425938*cm -0.13234748605531266*rad  |    4   1   1   1
     sl1_layer2_s4 | region1_s4 | -2.453770*cm -5.880692*cm -7.232030*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 6.483677620940216*cm 85.07754903262214*cm -0.13234748605531266*rad 75.57990956035776*cm 6.483677620940216*cm 85.07754903262214*cm -0.13234748605531266*rad  |    4   1   1   2
     sl1_layer3_s4 | region1_s4 | -2.487382*cm -5.204627*cm -6.073550*cm | ordered: yxz 0.0*deg 0.0*deg 6.0*deg |   G4Trap | 0.5692400150000014*cm -0.4363323129985824*rad 1.5707963267948966*rad 75.57990956035776*cm 7.110774665247061*cm 85.70464607692898*cm -0.13234748605531266*rad 75.57990956035776*cm 7.110774665247061*cm 85.70464607692898*cm -0.13234748605531266*rad  |    4   1   1   3
