    htccBigGasVolume  |                root  |volume containing cherenkov gas  |                                             0 0 0  |                                   0 0 0  |ee99ff5   |            Polycone  |0*deg 360*deg 4*counts 0*mm 15.8*mm 91.5*mm 150*mm 1742*mm 2300*mm 2300*mm 1589*mm -275*mm 181*mm 1046*mm 1740*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 htccEntryDishVolume  |                root  |        HTCC entry dish volume  |                                             0 0 0  |                                   0 0 0  | ee99ff   |            Polycone  |0.0*deg 360.0*deg 17*counts 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 1416.05*mm 1410.081*mm 1404.493*mm 1398.905*mm 1393.317*mm 1387.729*mm 1387.729*mm 1363.4466*mm 1339.1388*mm 1305.8648*mm 1272.5908*mm 1239.3168*mm 1206.0174*mm 1158.24*mm 1105.408*mm 996.0356*mm 945.896*mm -276.4122*mm -178.6222*mm -87.1822*mm 4.2578*mm 95.6978*mm 187.1378*mm 278.5778*mm 370.0178*mm 461.4578*mm 552.8978*mm 644.3378*mm 735.7778*mm 827.2178*mm 918.6578*mm 991.378*mm 1080.278*mm 1107.71*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 htccEntryConeVolume  |                root  |        HTCC entry cone volume  |                                             0 0 0  |                                   0 0 0  | 999999   |            Polycone  |0.0*deg 360.0*deg 9*counts 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 235*mm 323.952*mm 390.373*mm 456.819*mm 525.831*mm 599.872*mm 673.913*mm 747.979*mm 827.151*mm 400*mm 470.17*mm 561.61*mm 653.05*mm 744.49*mm 835.93*mm 927.37*mm 1018.81*mm 1116.6*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   htccEntryDishCone  |                root  | subtraction entry dish - cone  |                                             0 0 0  |                                   0 0 0  | 999999   |Operation:@ htccEntryDishVolume - htccEntryConeVolume  |                                                           0  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
                htcc  |                root  |           gas volume for htcc  |                                             0 0 0  |                                   0 0 0  |0000ff3   |Operation:@ htccBigGasVolume - htccEntryDishCone  |                                                           0  |             HTCCgas  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
HTCC_OuterCutCylinder  |                htcc  |            Outer cut cylinder  |                                 0*mm 0*mm 1500*mm  |                                   0 0 0  | 999999   |                Tube  |                  1165.352*mm 1500.0*mm 500*mm 0*deg 360*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   HTCC_InnerCutCone  |                htcc  |                Inner cut cone  |                                 0*mm 0*mm 1000*mm  |                                   0 0 0  | 999999   |                Cons  |   0.0*mm 0.0*mm 0.0*mm 174.97733*mm 1000.0*mm 0*deg 360*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   Barrel_sect0half0  |                htcc  |Barrel defining mirror back surface  |                                             0 0 0  |ordered: yzx 0*rad   0.2617993878*rad    1.392074611*rad  | 999999   |            Polycone  |0.0*deg 360.0*deg 21*counts 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 0*mm 1435.3392*mm 1461.162*mm 1483.4626*mm 1502.4172*mm 1518.1665*mm 1530.8215*mm 1540.4676*mm 1547.168*mm 1550.9654*mm 1551.8836*mm 1549.9283*mm 1545.0874*mm 1537.3303*mm 1526.6071*mm 1512.8469*mm 1495.9556*mm 1475.8119*mm 1452.2631*mm 1425.1181*mm 1394.1386*mm 1359.0258*mm 360.01139*mm 423.09863*mm 486.18587*mm 549.27312*mm 612.36036*mm 675.4476*mm 738.53484*mm 801.62208*mm 864.70932*mm 927.79656*mm 990.8838*mm 1053.971*mm 1117.0583*mm 1180.1455*mm 1243.2328*mm 1306.32*mm 1369.4073*mm 1432.4945*mm 1495.5817*mm 1558.669*mm 1621.7562*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   phicut_sect0half0  |                htcc  |           Half-sector phi cut  |                                 0*mm 0*mm 1500*mm  |                                   0 0 0  | 999999   |                Tube  |0.0*mm 1500.0*mm 500.0*mm    1.047197551*rad   0.5225987756*rad  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
Mirror_sect0mirr0half0  |                htcc  |Ellipsoid defining mirror surface  |        208.7414292*mm 779.0336195*mm -31.02335*mm  |ordered: yzx 0*rad   0.2617993878*rad    1.609243305*rad  | 999999   |           Ellipsoid  |               1728.673*mm 1728.673*mm 1907.810*mm 0*mm 0*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
BarrelEllipseCut_sect0mirr0half0  |                htcc  |subtraction of barrel and ellipse  |                                    0*mm 0*mm 0*mm  |ordered: yzx 0*rad   0.2617993878*rad    1.392074611*rad  | 999999   |Operation:@ Barrel_sect0half0 - Mirror_sect0mirr0half0  |                                                           0  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
