aps_field | root | Solid Holding PS Magnet Field Map, A | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 00ff00 | Box | 114.775*cm 68.1025*cm 85.16*cm  | Component | no | 1 | 1 | 1 | 1 | 0 | no |  |  
bps_field | root | Solid Holding PS Magnet Map, B | 0.0*cm 0.0*cm 130.88*cm  | 0.0*deg 0.0*deg 0.0*deg  | 00ff00 | Box | 114.775*cm 68.1025*cm 45.72*cm  | Component | no | 1 | 1 | 1 | 1 | 0 | no |  |  
ps_field | root | Solid Holding PS Magnet Map | 8.865*cm 0*cm 0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 00ff00 | Operation: aps_field + bps_field |  | Vacuum | hps_pair_spectrometer | 1 | 1 | 1 | 0 | 0 | no |  |  
ps_ayoke | ps_field | Pair Spectrometer Yoke | 0*cm 0*cm 0*cm  | 0*rad 0*rad 0*rad  | 000088 | Box | 104.775*cm 58.1025*cm 45.72*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
ps_gap | ps_field | Pair Spectrometer Magnet Gap | 0*cm 0*cm 0*cm  | 0*rad 0*rad 0*rad  | 000088 | Box | 45.72*cm 26.035*cm 45.721*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
ps_magnet | ps_field | Pair Spectrometer | 0*cm 0*cm 45.72*cm  | 0.0*deg 0.0*deg 0.0*deg  | 440000 | Operation: ps_ayoke - ps_gap | 0.0*cm  | G4_Fe | no | 1 | 1 | 1 | 1 | 0 | no |  |  
fm_yoke | root | Frascati Magnet Yoke | 0*cm 0*cm 0*cm  | 0*rad 0*rad 0*rad  | 0000ff | Box | 35.56*cm 35.56*cm 30.48*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
fm_gap | root | Pair Spectrometer Magnet Gap | 0*cm 0*cm 0*cm  | 0*rad 0*rad 0*rad  | 0000ff | Box | 22.225*cm 4.0*cm 30.49*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
frascati_magnet1 | root | Frascati Magnet 1 | 0.0*cm 0.0*cm -172.3898*cm  | 0.0*deg 0.0*deg 0.0*deg  | 007700 | Operation: fm_yoke - fm_gap | 0.0*cm  | G4_Fe | no | 1 | 1 | 1 | 1 | 0 | no |  |  
frascati_magnet2 | root | Frascati Magnet 2 | 0.0*cm 0.0*cm 263.8298*cm  | 0.0*deg 0.0*deg 0.0*deg  | 007700 | Operation: fm_yoke - fm_gap | 0.0*cm  | G4_Fe | no | 1 | 1 | 1 | 1 | 0 | no |  |  
frascati_magnet1_field | root | Frascati Magnet1 Field region | 0.0*cm 0.0*cm -172.3898*cm  | 0.0*deg 0.0*deg 0.0*deg  | 00ff00 | Box | 22.215*cm 3.99*cm 54.61*cm  | Vacuum | hps_frascati_magnet_field1_394A | 1 | 1 | 1 | 0 | 0 | no |  |  
frascati_magnet2_field | root | Frascati Magnet2 Field region | 0.0*cm 0.0*cm 263.8298*cm  | 0.0*deg 0.0*deg 0.0*deg  | 00ff00 | Box | 20.9549*cm 2.5399*cm 54.61*cm  | Vacuum | hps_frascati_magnet_field2_394A | 1 | 1 | 1 | 0 | 0 | no |  |  
alignement_tube1 | root | Beam alignment tube 1, at 10m | 0.0*cm 0*cm 1000.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 005500 | Tube | 0*cm 2*cm 10*cm 0*deg 360*deg  | Vacuum | no | 1 | 1 | 1 | 1 | 1 | flux | flux | id manual 101 
alignement_tube2 | root | Beam alignment tube 2, at 20m | 0.0*cm 0*cm 1900.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 005500 | Tube | 0*cm 2*cm 10*cm 0*deg 360*deg  | Vacuum | no | 1 | 1 | 1 | 1 | 1 | flux | flux | id manual 102 
vca_box | ps_field | PS Vacuum Box Frame | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Box | 22.7076*cm 10.16*cm 60.96*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vca_vbox | ps_field | PS Vacuum box Vacuum | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Box | 20.8026*cm 8.89*cm 61.06*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vca_trd1 | ps_field | PS Vacuum Trapezoid  | 0.0*cm 0.0*cm 80.1911*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Trd | 22.7076*cm 22.7076*cm 10.16*cm 20.64004*cm 19.2311*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vca_vtrd1 | ps_field | PS Vacuum Trapezoid Vacuum | 0.0*cm 0.0*cm 80.1911*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Trd | 20.8026*cm 20.8026*cm 8.89*cm 19.37004*cm 19.7311*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vca_trd2 | ps_field | PS Vacuum Trapezoid  | 0.0*cm 0.0*cm 87.5587315462*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Trd | 22.7076*cm 36.83*cm 14.1743223981*cm 20.64004*cm 11.8634684538*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vca_vtrd2 | ps_field | PS Vacuum Trapezoid  | 0.0*cm 0.0*cm 87.5587315462*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Trd | 20.8026*cm 34.925*cm 12.9043223981*cm 19.37004*cm 12.3634684538*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vca_flange | ps_field | PS Downstream Flange Frame | 0.0*cm 0.0*cm 98.1522*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Box | 38.4175*cm 22.86*cm 1.27*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vcb_frame | ps_field | PS Vacuum Box + Tr1 Frame | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Operation: vca_box + vca_trd1 | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vcc_frame | ps_field | PS Vacuum Box + Tr2 Frame | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Operation: vcb_frame + vca_trd2 | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vcd_frame | ps_field | PS Vacuum Box + Flange | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Operation: vcc_frame + vca_flange | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vce_frame | ps_field | PS Frame - Box | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Operation: vcd_frame - vca_vbox | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vcf_frame | ps_field | PS Vacuum Box+Trapezoid Frame - Box - Tr1 | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | 000000 | Operation: vce_frame - vca_vtrd1 | 0.0*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
vcg_frame | ps_field | PS Vacuum Box+Trapezoid Frame - Box Tr1 - Tr2 | 0.0*cm 0.0*cm 32.004*cm  | 0.0*deg 0.0*deg 0.0*deg  | dcdcf2 | Operation: vcf_frame - vca_vtrd2 | 0.0*cm  | StainlessSteel | no | 1 | 1 | 1 | 1 | 0 | no |  |  
last_vacuum_chamber_outer | root | Last Vacuum Box | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Box | 22.0726*cm 3.81*cm 68.0212*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
last_vacuum_chamber_inner | root | Last Vacuum Box | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Box | 20.955*cm 2.54*cm 73.1012*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
upstream_flange_outer | root | Last Vacuum Chamber Flange | 0.0*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Box | 27.305*cm 8.001*cm 0.9525*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
upstream_flange_inner | root | Last Vacuum Chamber Flange | 0.33274*cm 0.0*cm 0.0*cm  | 0.0*deg 0.0*deg 0.0*deg  | bbbbcc | Box | 17.145*cm 3.175*cm 6.0325*cm  | Component | no | 1 | 1 | 1 | 1 | 1 | no |  |  
