          region1_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 0  |                        90.3846*cm 0*cm 220.045*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.089*cm -25*deg 90*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 0  |                 45.1923*cm 78.27536*cm 220.045*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.089*cm -25*deg 90*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 0  |                -45.1923*cm 78.27536*cm 220.045*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.089*cm -25*deg 90*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 0  |                       -90.3846*cm 0*cm 220.045*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.089*cm -25*deg 90*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 0  |               -45.1923*cm -78.27536*cm 220.045*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.089*cm -25*deg 90*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 0  |                45.1923*cm -78.27536*cm 220.045*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.089*cm -25*deg 90*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg 81.6897*cm 7.22736092906178*cm 88.9572290709382*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 1  |                        146.787*cm 0*cm 338.224*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657*cm -25*deg 90*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 1  |                73.3935*cm 127.12127*cm 338.224*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657*cm -25*deg 90*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 1  |               -73.3935*cm 127.12127*cm 338.224*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657*cm -25*deg 90*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 1  |                       -146.787*cm 0*cm 338.224*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657*cm -25*deg 90*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 1  |              -73.3935*cm -127.12127*cm 338.224*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657*cm -25*deg 90*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 1  |               73.3935*cm -127.12127*cm 338.224*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657*cm -25*deg 90*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg 131.229*cm 5.75340984140402*cm 142.305880158596*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 2  |                        210.766*cm 0*cm 464.923*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.8778*cm -25*deg 90*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 2  |                105.383*cm 182.52871*cm 464.923*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.8778*cm -25*deg 90*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 2  |               -105.383*cm 182.52871*cm 464.923*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.8778*cm -25*deg 90*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 2  |                       -210.766*cm 0*cm 464.923*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.8778*cm -25*deg 90*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 2  |              -105.383*cm -182.52871*cm 464.923*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.8778*cm -25*deg 90*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region3_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 2  |               105.383*cm -182.52871*cm 464.923*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |20.8778*cm -25*deg 90*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg 192.284*cm 10.6483558967826*cm 209.264944103217*cm 0*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       sl1_layer1_s1  |          region1_s1  |Region 0, Super Layer 1, layer 1, Sector 1  |                 2.49472*cm 3.61472*cm -8.39051*cm  |                      0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |0.56924*cm -25*deg 90*deg 75.5799*cm 7.24761*cm 85.8415*cm 7.58295*deg 75.5799*cm 7.24761*cm 85.8415*cm 7.58295*deg  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 1 wire manual 1 
