          region1_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 1  |                 97.1504955*cm 0*cm 216.9377989*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 1  |        48.5752478*cm 84.1347971*cm 216.9377989*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 1  |       -48.5752478*cm 84.1347971*cm 216.9377989*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 1  |                -97.1504955*cm 0*cm 216.9377989*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 1  |      -48.5752478*cm -84.1347971*cm 216.9377989*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region1_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 1  |       48.5752478*cm -84.1347971*cm 216.9377989*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |9.08899*cm -0.4363323*rad 1.5707963*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad 91.8235896*cm 4.5097106*cm 98.0388567*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 2  |                157.8593431*cm 0*cm 333.5285701*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 2  |       78.9296716*cm 136.7102014*cm 333.5285701*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 2  |      -78.9296716*cm 136.7102014*cm 333.5285701*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 2  |               -157.8593431*cm 0*cm 333.5285701*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region2_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 2  |     -78.9296716*cm -136.7102014*cm 333.5285701*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323*rad 1.5707963*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad 147.207819*cm 3.9481089*cm 157.2670164*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
