        region1_s1 |       fc | 97.1505*cm 0*cm 216.9378*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 9.089*cm -0.4363*rad 1.5708*rad 91.8236*cm 4.5097*cm 98.0389*cm 0*rad 91.8236*cm 4.5097*cm 98.0389*cm 0*rad  |    1   1   0   0
     sl1_layer1_s1 | region1_s1 | -2.4574*cm -5.2078*cm -8.3905*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.5692*cm -0.4363*rad 1.5708*rad 75.5799*cm 6.5519*cm 85.1458*cm -0.1323*rad 75.5799*cm 6.5519*cm 85.1458*cm -0.1323*rad  |    1   1   1   1
     sl1_layer2_s1 | region1_s1 | -2.4538*cm -5.8808*cm -7.232*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.5692*cm -0.4363*rad 1.5708*rad 75.5799*cm 6.4835*cm 85.0773*cm -0.1323*rad 75.5799*cm 6.4835*cm 85.0773*cm -0.1323*rad  |    1   1   1   2
     sl1_layer3_s1 | region1_s1 | -2.4874*cm -5.2047*cm -6.0736*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.5692*cm -0.4363*rad 1.5708*rad 75.5799*cm 7.1106*cm 85.7044*cm -0.1323*rad 75.5799*cm 7.1106*cm 85.7044*cm -0.1323*rad  |    1   1   1   3
     sl1_layer4_s1 | region1_s1 | -2.4837*cm -5.8776*cm -4.9151*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.5692*cm -0.4363*rad 1.5708*rad 75.5799*cm 7.0421*cm 85.636*cm -0.1323*rad 75.5799*cm 7.0421*cm 85.636*cm -0.1323*rad  |    1   1   1   4
     sl1_layer5_s1 | region1_s1 | -2.5173*cm -5.2016*cm -3.7566*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.5692*cm -0.4363*rad 1.5708*rad 75.5799*cm 7.6692*cm 86.2631*cm -0.1323*rad 75.5799*cm 7.6692*cm 86.2631*cm -0.1323*rad  |    1   1   1   5
     sl1_layer6_s1 | region1_s1 | -2.5136*cm -5.8745*cm -2.5981*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.5692*cm -0.4363*rad 1.5708*rad 75.5799*cm 7.6008*cm 86.1947*cm -0.1323*rad 75.5799*cm 7.6008*cm 86.1947*cm -0.1323*rad  |    1   1   1   6
     sl2_layer1_s1 | region1_s1 | 2.5579*cm -6.5429*cm 2.273*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.5963*cm -0.4363*rad 1.5708*rad 79.1146*cm 6.5895*cm 88.859*cm 0.1323*rad 79.1146*cm 6.5895*cm 88.859*cm 0.1323*rad  |    1   1   2   1
     sl2_layer2_s1 | region1_s1 | 2.5541*cm -7.2473*cm 3.4857*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.5963*cm -0.4363*rad 1.5708*rad 79.1146*cm 6.5178*cm 88.7874*cm 0.1323*rad 79.1146*cm 6.5178*cm 88.7874*cm 0.1323*rad  |    1   1   2   2
     sl2_layer3_s1 | region1_s1 | 2.5893*cm -6.5396*cm 4.6984*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.5963*cm -0.4363*rad 1.5708*rad 79.1146*cm 7.1743*cm 89.4438*cm 0.1323*rad 79.1146*cm 7.1743*cm 89.4438*cm 0.1323*rad  |    1   1   2   3
     sl2_layer4_s1 | region1_s1 | 2.5855*cm -7.244*cm 5.911*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.5963*cm -0.4363*rad 1.5708*rad 79.1146*cm 7.1026*cm 89.3722*cm 0.1323*rad 79.1146*cm 7.1026*cm 89.3722*cm 0.1323*rad  |    1   1   2   4
     sl2_layer5_s1 | region1_s1 | 2.6206*cm -6.5363*cm 7.1237*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.5963*cm -0.4363*rad 1.5708*rad 79.1146*cm 7.7591*cm 90.0286*cm 0.1323*rad 79.1146*cm 7.7591*cm 90.0286*cm 0.1323*rad  |    1   1   2   5
     sl2_layer6_s1 | region1_s1 | 2.6168*cm -7.2407*cm 8.3363*cm | ordered: yxz 0*deg 0*deg -6*deg |   G4Trap | 0.5963*cm -0.4363*rad 1.5708*rad 79.1146*cm 7.6874*cm 89.957*cm 0.1323*rad 79.1146*cm 7.6874*cm 89.957*cm 0.1323*rad  |    1   1   2   6
        region1_s2 |       fc | 48.5752*cm 84.1348*cm 216.9378*cm | ordered: zxy 30*deg 25*deg 0*deg |   G4Trap | 9.089*cm -0.4363*rad 1.5708*rad 91.8236*cm 4.5097*cm 98.0389*cm 0*rad 91.8236*cm 4.5097*cm 98.0389*cm 0*rad  |    2   1   0   0
     sl1_layer1_s2 | region1_s2 | -2.4574*cm -5.2078*cm -8.3905*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.5692*cm -0.4363*rad 1.5708*rad 75.5799*cm 6.5519*cm 85.1458*cm -0.1323*rad 75.5799*cm 6.5519*cm 85.1458*cm -0.1323*rad  |    2   1   1   1
     sl1_layer2_s2 | region1_s2 | -2.4538*cm -5.8808*cm -7.232*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.5692*cm -0.4363*rad 1.5708*rad 75.5799*cm 6.4835*cm 85.0773*cm -0.1323*rad 75.5799*cm 6.4835*cm 85.0773*cm -0.1323*rad  |    2   1   1   2
     sl1_layer3_s2 | region1_s2 | -2.4874*cm -5.2047*cm -6.0736*cm | ordered: yxz 0*deg 0*deg 6*deg |   G4Trap | 0.5692*cm -0.4363*rad 1.5708*rad 75.5799*cm 7.1106*cm 85.7044*cm -0.1323*rad 75.5799*cm 7.1106*cm 85.7044*cm -0.1323*rad  |    2   1   1   3
