             ec_s1 |       fc | 232.6263*cm 0*cm 723.8662*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad  | 
         eclid1_s1 |    ec_s1 | 0*cm 0*cm -26.647225*cm | 0 0 0 |   G4Trap | 0.0794*cm 0*rad 0*rad 186.588*cm 0.000001*cm 191.1282*cm 0*rad 186.588*cm 0.000001*cm 191.1282*cm 0*rad  | 
         eclid2_s1 |    ec_s1 | 0*cm 0*cm -24.02775*cm | 0 0 0 |   G4Trap | 2.54*cm 0*rad 0*rad 186.588*cm 0.000001*cm 191.1282*cm 0*rad 186.588*cm 0.000001*cm 191.1282*cm 0*rad  | 
         eclid3_s1 |    ec_s1 | 0*cm 0*cm -21.408275*cm | 0 0 0 |   G4Trap | 0.0794*cm 0*rad 0*rad 186.588*cm 0.000001*cm 191.1282*cm 0*rad 186.588*cm 0.000001*cm 191.1282*cm 0*rad  | 
U-scintillator_1_s1_view_1_stack_1 |    ec_s1 | 0*cm 0*cm -20.8288*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 186.588*cm 0.000001*cm 191.1282*cm 0*rad 186.588*cm 0.000001*cm 191.1282*cm 0*rad  | 
U_strip_1_1_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm -181.404999*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 0.0000005*cm 5.3091*cm 0*rad 5.183*cm 0.0000005*cm 5.3091*cm 0*rad  | 
U_strip_1_2_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm -171.038999*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 5.3091*cm 10.6182*cm 0*rad 5.183*cm 5.3091*cm 10.6182*cm 0*rad  | 
U_strip_1_3_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm -160.672999*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 10.6182*cm 15.9274*cm 0*rad 5.183*cm 10.6182*cm 15.9274*cm 0*rad  | 
U_strip_1_4_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm -150.306999*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 15.9274*cm 21.2365*cm 0*rad 5.183*cm 15.9274*cm 21.2365*cm 0*rad  | 
U_strip_1_5_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm -139.940999*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 21.2365*cm 26.5456*cm 0*rad 5.183*cm 21.2365*cm 26.5456*cm 0*rad  | 
U_strip_1_6_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm -129.574999*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 26.5456*cm 31.8547*cm 0*rad 5.183*cm 26.5456*cm 31.8547*cm 0*rad  | 
U_strip_1_7_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0*cm -119.208999*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 5.183*cm 31.8547*cm 37.1638*cm 0*rad 5.183*cm 31.8547*cm 37.1638*cm 0*rad  | 
