           pcal_s1 |       fc | 207.191572*cm -1.54*cm 689.1902143*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 14.9118*cm 0*rad 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad  | 
Stainless_Steel_Front_1_s1 |  pcal_s1 | 0*cm 0*cm -14.7617*cm | 0 0 0 |   G4Trap | 0.1*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  | 
Last-a-Foam_Front_s1 |  pcal_s1 | 0*cm 0*cm -12.1216*cm | 0 0 0 |   G4Trap | 2.54*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  | 
Stainless_Steel_Front_2_s1 |  pcal_s1 | 0*cm 0*cm -9.4815*cm | 0 0 0 |   G4Trap | 0.1*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  | 
U-view-scintillator_1_s1 |  pcal_s1 | 0*cm 0*cm -8.8564*cm | 0 0 0 |   G4Trap | 0.525*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  | 
U-view_single_strip_1_0_s1 | U-view-scintillator_1_s1 | 0*cm -189*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 3.6000353*cm 0.0127904*cm 3.6964599*cm 0*rad 3.6000353*cm 0.0127904*cm 3.6964599*cm 0*rad  | 
U-view_single_strip_1_1_s1 | U-view-scintillator_1_s1 | 0*cm -183.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 3.7220406*cm 5.9987307*cm 0*rad 2.225*cm 3.7220406*cm 5.9987307*cm 0*rad  |   33   1   1   1
U-view_single_strip_1_2_s1 | U-view-scintillator_1_s1 | 0*cm -178.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 6.0243115*cm 8.3010015*cm 0*rad 2.225*cm 6.0243115*cm 8.3010015*cm 0*rad  |   33   1   1   2
U-view_single_strip_1_3_s1 | U-view-scintillator_1_s1 | 0*cm -174.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 8.3265823*cm 10.6032724*cm 0*rad 2.225*cm 8.3265823*cm 10.6032724*cm 0*rad  |   33   1   1   3
U-view_single_strip_1_4_s1 | U-view-scintillator_1_s1 | 0*cm -169.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 10.6288531*cm 12.9055432*cm 0*rad 2.225*cm 10.6288531*cm 12.9055432*cm 0*rad  |   33   1   1   4
U-view_single_strip_1_5_s1 | U-view-scintillator_1_s1 | 0*cm -165.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 12.931124*cm 15.207814*cm 0*rad 2.225*cm 12.931124*cm 15.207814*cm 0*rad  |   33   1   1   5
U-view_single_strip_1_6_s1 | U-view-scintillator_1_s1 | 0*cm -160.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 15.2333948*cm 17.5100848*cm 0*rad 2.225*cm 15.2333948*cm 17.5100848*cm 0*rad  |   33   1   1   6
U-view_single_strip_1_7_s1 | U-view-scintillator_1_s1 | 0*cm -156.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 17.5356656*cm 19.8123557*cm 0*rad 2.225*cm 17.5356656*cm 19.8123557*cm 0*rad  |   33   1   1   7
U-view_single_strip_1_8_s1 | U-view-scintillator_1_s1 | 0*cm -151.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 19.8379365*cm 22.1146265*cm 0*rad 2.225*cm 19.8379365*cm 22.1146265*cm 0*rad  |   33   1   1   8
U-view_single_strip_1_9_s1 | U-view-scintillator_1_s1 | 0*cm -147.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 22.1402073*cm 24.4168973*cm 0*rad 2.225*cm 22.1402073*cm 24.4168973*cm 0*rad  |   33   1   1   9
U-view_single_strip_1_10_s1 | U-view-scintillator_1_s1 | 0*cm -142.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 24.4424781*cm 26.7191682*cm 0*rad 2.225*cm 24.4424781*cm 26.7191682*cm 0*rad  |   33   1   1  10
U-view_single_strip_1_11_s1 | U-view-scintillator_1_s1 | 0*cm -138.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 26.744749*cm 29.021439*cm 0*rad 2.225*cm 26.744749*cm 29.021439*cm 0*rad  |   33   1   1  11
U-view_single_strip_1_12_s1 | U-view-scintillator_1_s1 | 0*cm -133.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 29.0470198*cm 31.3237098*cm 0*rad 2.225*cm 29.0470198*cm 31.3237098*cm 0*rad  |   33   1   1  12
U-view_single_strip_1_13_s1 | U-view-scintillator_1_s1 | 0*cm -129.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 31.3492906*cm 33.6259807*cm 0*rad 2.225*cm 31.3492906*cm 33.6259807*cm 0*rad  |   33   1   1  13
U-view_single_strip_1_14_s1 | U-view-scintillator_1_s1 | 0*cm -124.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 33.6515614*cm 35.9282515*cm 0*rad 2.225*cm 33.6515614*cm 35.9282515*cm 0*rad  |   33   1   1  14
U-view_single_strip_1_15_s1 | U-view-scintillator_1_s1 | 0*cm -120.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 35.9538323*cm 38.2305223*cm 0*rad 2.225*cm 35.9538323*cm 38.2305223*cm 0*rad  |   33   1   1  15
U-view_single_strip_1_16_s1 | U-view-scintillator_1_s1 | 0*cm -115.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 38.2561031*cm 40.5327931*cm 0*rad 2.225*cm 38.2561031*cm 40.5327931*cm 0*rad  |   33   1   1  16
U-view_single_strip_1_17_s1 | U-view-scintillator_1_s1 | 0*cm -111.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 40.5583739*cm 42.835064*cm 0*rad 2.225*cm 40.5583739*cm 42.835064*cm 0*rad  |   33   1   1  17
U-view_single_strip_1_18_s1 | U-view-scintillator_1_s1 | 0*cm -106.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 42.8606448*cm 45.1373348*cm 0*rad 2.225*cm 42.8606448*cm 45.1373348*cm 0*rad  |   33   1   1  18
U-view_single_strip_1_19_s1 | U-view-scintillator_1_s1 | 0*cm -102.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 45.1629156*cm 47.4396056*cm 0*rad 2.225*cm 45.1629156*cm 47.4396056*cm 0*rad  |   33   1   1  19
U-view_single_strip_1_20_s1 | U-view-scintillator_1_s1 | 0*cm -97.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 47.4651864*cm 49.7418765*cm 0*rad 2.225*cm 47.4651864*cm 49.7418765*cm 0*rad  |   33   1   1  20
U-view_single_strip_1_21_s1 | U-view-scintillator_1_s1 | 0*cm -93.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 49.7674573*cm 52.0441473*cm 0*rad 2.225*cm 49.7674573*cm 52.0441473*cm 0*rad  |   33   1   1  21
U-view_single_strip_1_22_s1 | U-view-scintillator_1_s1 | 0*cm -88.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 52.0697281*cm 54.3464181*cm 0*rad 2.225*cm 52.0697281*cm 54.3464181*cm 0*rad  |   33   1   1  22
U-view_single_strip_1_23_s1 | U-view-scintillator_1_s1 | 0*cm -84.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 54.3719989*cm 56.648689*cm 0*rad 2.225*cm 54.3719989*cm 56.648689*cm 0*rad  |   33   1   1  23
U-view_single_strip_1_24_s1 | U-view-scintillator_1_s1 | 0*cm -79.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 56.6742697*cm 58.9509598*cm 0*rad 2.225*cm 56.6742697*cm 58.9509598*cm 0*rad  |   33   1   1  24
U-view_single_strip_1_25_s1 | U-view-scintillator_1_s1 | 0*cm -75.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 58.9765406*cm 61.2532306*cm 0*rad 2.225*cm 58.9765406*cm 61.2532306*cm 0*rad  |   33   1   1  25
U-view_single_strip_1_26_s1 | U-view-scintillator_1_s1 | 0*cm -70.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 61.2788114*cm 63.5555015*cm 0*rad 2.225*cm 61.2788114*cm 63.5555015*cm 0*rad  |   33   1   1  26
U-view_single_strip_1_27_s1 | U-view-scintillator_1_s1 | 0*cm -66.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 63.5810822*cm 65.8577723*cm 0*rad 2.225*cm 63.5810822*cm 65.8577723*cm 0*rad  |   33   1   1  27
U-view_single_strip_1_28_s1 | U-view-scintillator_1_s1 | 0*cm -61.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 65.8833531*cm 68.1600431*cm 0*rad 2.225*cm 65.8833531*cm 68.1600431*cm 0*rad  |   33   1   1  28
U-view_single_strip_1_29_s1 | U-view-scintillator_1_s1 | 0*cm -57.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 68.1856239*cm 70.4623139*cm 0*rad 2.225*cm 68.1856239*cm 70.4623139*cm 0*rad  |   33   1   1  29
U-view_single_strip_1_30_s1 | U-view-scintillator_1_s1 | 0*cm -52.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 70.4878947*cm 72.7645848*cm 0*rad 2.225*cm 70.4878947*cm 72.7645848*cm 0*rad  |   33   1   1  30
U-view_single_strip_1_31_s1 | U-view-scintillator_1_s1 | 0*cm -48.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 72.7901656*cm 75.0668556*cm 0*rad 2.225*cm 72.7901656*cm 75.0668556*cm 0*rad  |   33   1   1  31
U-view_single_strip_1_32_s1 | U-view-scintillator_1_s1 | 0*cm -43.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 75.0924364*cm 77.3691264*cm 0*rad 2.225*cm 75.0924364*cm 77.3691264*cm 0*rad  |   33   1   1  32
U-view_single_strip_1_33_s1 | U-view-scintillator_1_s1 | 0*cm -39.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 77.3947072*cm 79.6713973*cm 0*rad 2.225*cm 77.3947072*cm 79.6713973*cm 0*rad  |   33   1   1  33
U-view_single_strip_1_34_s1 | U-view-scintillator_1_s1 | 0*cm -34.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 79.696978*cm 81.9736681*cm 0*rad 2.225*cm 79.696978*cm 81.9736681*cm 0*rad  |   33   1   1  34
U-view_single_strip_1_35_s1 | U-view-scintillator_1_s1 | 0*cm -30.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 81.9992489*cm 84.2759389*cm 0*rad 2.225*cm 81.9992489*cm 84.2759389*cm 0*rad  |   33   1   1  35
U-view_single_strip_1_36_s1 | U-view-scintillator_1_s1 | 0*cm -25.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 84.3015197*cm 86.5782098*cm 0*rad 2.225*cm 84.3015197*cm 86.5782098*cm 0*rad  |   33   1   1  36
U-view_single_strip_1_37_s1 | U-view-scintillator_1_s1 | 0*cm -21.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 86.6037905*cm 88.8804806*cm 0*rad 2.225*cm 86.6037905*cm 88.8804806*cm 0*rad  |   33   1   1  37
U-view_single_strip_1_38_s1 | U-view-scintillator_1_s1 | 0*cm -16.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 88.9060614*cm 91.1827514*cm 0*rad 2.225*cm 88.9060614*cm 91.1827514*cm 0*rad  |   33   1   1  38
U-view_single_strip_1_39_s1 | U-view-scintillator_1_s1 | 0*cm -12.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 91.2083322*cm 93.4850222*cm 0*rad 2.225*cm 91.2083322*cm 93.4850222*cm 0*rad  |   33   1   1  39
U-view_single_strip_1_40_s1 | U-view-scintillator_1_s1 | 0*cm -7.6249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 93.510603*cm 95.7872931*cm 0*rad 2.225*cm 93.510603*cm 95.7872931*cm 0*rad  |   33   1   1  40
U-view_single_strip_1_41_s1 | U-view-scintillator_1_s1 | 0*cm -3.1249647*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 95.8128739*cm 98.0895639*cm 0*rad 2.225*cm 95.8128739*cm 98.0895639*cm 0*rad  |   33   1   1  41
U-view_single_strip_1_42_s1 | U-view-scintillator_1_s1 | 0*cm 1.3750353*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 98.1151447*cm 100.3918347*cm 0*rad 2.225*cm 98.1151447*cm 100.3918347*cm 0*rad  |   33   1   1  42
U-view_single_strip_1_43_s1 | U-view-scintillator_1_s1 | 0*cm 5.8750353*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 100.4174155*cm 102.6941056*cm 0*rad 2.225*cm 100.4174155*cm 102.6941056*cm 0*rad  |   33   1   1  43
U-view_single_strip_1_44_s1 | U-view-scintillator_1_s1 | 0*cm 10.3750353*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 102.7196864*cm 104.9963764*cm 0*rad 2.225*cm 102.7196864*cm 104.9963764*cm 0*rad  |   33   1   1  44
U-view_single_strip_1_45_s1 | U-view-scintillator_1_s1 | 0*cm 14.8750353*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 105.0219572*cm 107.2986472*cm 0*rad 2.225*cm 105.0219572*cm 107.2986472*cm 0*rad  |   33   1   1  45
U-view_single_strip_1_46_s1 | U-view-scintillator_1_s1 | 0*cm 19.3750353*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 107.324228*cm 109.6009181*cm 0*rad 2.225*cm 107.324228*cm 109.6009181*cm 0*rad  |   33   1   1  46
U-view_single_strip_1_47_s1 | U-view-scintillator_1_s1 | 0*cm 23.8750353*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 109.6264988*cm 111.9031889*cm 0*rad 2.225*cm 109.6264988*cm 111.9031889*cm 0*rad  |   33   1   1  47
U-view_single_strip_1_48_s1 | U-view-scintillator_1_s1 | 0*cm 28.3750353*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 111.9287697*cm 114.2054597*cm 0*rad 2.225*cm 111.9287697*cm 114.2054597*cm 0*rad  |   33   1   1  48
U-view_single_strip_1_49_s1 | U-view-scintillator_1_s1 | 0*cm 32.8750353*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 2.225*cm 114.2310405*cm 116.5077305*cm 0*rad 2.225*cm 114.2310405*cm 116.5077305*cm 0*rad  |   33   1   1  49
