              sc01 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22   1
              sc02 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22   2
              sc03 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22   3
              sc04 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22   4
              sc05 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22   5
              sc06 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22   6
              sc07 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22   7
              sc08 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22   8
              sc09 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22   9
              sc10 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  10
              sc11 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  11
              sc12 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  12
              sc13 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  13
              sc14 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  14
              sc15 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  15
              sc16 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  16
              sc17 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  17
              sc18 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  18
              sc19 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  19
              sc20 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  20
              sc21 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  21
              sc22 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  22
              sc23 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  23
              sc24 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  24
              sc25 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  25
              sc26 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  26
              sc27 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  27
              sc28 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  28
              sc29 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  29
              sc30 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  30
              sc31 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  31
              sc32 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  32
              sc33 |     root | 0*cm 0*cm 127.327*cm | 0*deg 180*deg 97.5*deg |      Stl |  |   22  33
