          region1_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 1  |            98.403220*cm 0.000000*cm 216.353644*cm  |  ordered: zxy 90.0*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |9.088989999999999*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 1  |           49.201610*cm 85.219689*cm 216.353644*cm  |ordered: zxy 29.999999999999996*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |9.088989999999999*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 1  |          -49.201610*cm 85.219689*cm 216.353644*cm  |ordered: zxy -29.999999999999996*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |9.088989999999999*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 1  |           -98.403220*cm 0.000000*cm 216.353644*cm  | ordered: zxy -90.0*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |9.088989999999999*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 1  |         -49.201610*cm -85.219689*cm 216.353644*cm  |ordered: zxy -150.00000000000003*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |9.088989999999999*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region1_s6  |                  fc  |CLAS12 Drift Chambers, Sector 6 Region 1  |          49.201610*cm -85.219689*cm 216.353644*cm  |ordered: zxy -210.0*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |9.088989999999999*cm -0.4363323129985824*rad 1.5707963267948966*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad 91.92953614545307*cm 5.164142579151308*cm 98.8019399318966*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s1  |                  fc  |CLAS12 Drift Chambers, Sector 1 Region 2  |           159.889838*cm 0.000000*cm 332.581735*cm  |  ordered: zxy 90.0*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323129985824*rad 1.5707963267948966*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s2  |                  fc  |CLAS12 Drift Chambers, Sector 2 Region 2  |          79.944919*cm 138.468662*cm 332.581735*cm  |ordered: zxy 29.999999999999996*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323129985824*rad 1.5707963267948966*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s3  |                  fc  |CLAS12 Drift Chambers, Sector 3 Region 2  |         -79.944919*cm 138.468662*cm 332.581735*cm  |ordered: zxy -29.999999999999996*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323129985824*rad 1.5707963267948966*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s4  |                  fc  |CLAS12 Drift Chambers, Sector 4 Region 2  |          -159.889838*cm 0.000000*cm 332.581735*cm  | ordered: zxy -90.0*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323129985824*rad 1.5707963267948966*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          region2_s5  |                  fc  |CLAS12 Drift Chambers, Sector 5 Region 2  |        -79.944919*cm -138.468662*cm 332.581735*cm  |ordered: zxy -150.00000000000003*deg 25.0*deg 0.0*deg  | aa0000   |              G4Trap  |16.5657815*cm -0.4363323129985824*rad 1.5707963267948966*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad 147.39493415106674*cm 5.022506624571695*cm 158.5372327175301*cm 0.0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
