        biggestFrame  |                root  |  In order to move the picture  |                             0*mm 0*mm -2.05837*cm  |                       0*deg 0*deg 0*deg  |C875334   |                Tube  |                           0*mm 50.9*mm 400*mm 0*deg 360*deg  |           vacuum_m9  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
                cork  |        biggestFrame  |The structure that supports the liquid hydrogen  |                             0*mm 0*mm 22.36835*mm  |                     180*deg 0*deg 0*deg  |C875333   |                Cons  |5.23735*mm 5.49125*mm 5.5841*mm 5.838*mm 2.48275*mm 270*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           innerCork  |        biggestFrame  |           The liquid hydrogen  |                              0*mm 0*mm 23.9537*mm  |                       0*deg 0*deg 0*deg  | C87533   |                Cons  |   0*mm 2.2509*mm 0*mm 5.49125*mm 0.98535*mm 270*deg 360*deg  |              G4_lH2  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       innerCorkCase  |        biggestFrame  |The container for the liquid hydrogen  |                              0*mm 0*mm 23.9537*mm  |                       0*deg 0*deg 0*deg  |C875333   |                Cons  |1.8135*mm 2.2509*mm 5.05385*mm 5.49125*mm 0.98535*mm 270*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            kapLayer  |        biggestFrame  |The outermost cone that encapsulates the cork and the liquid duterium constructs  |                                    0*mm 0*mm 0*mm  |                     180*deg 0*deg 0*deg  |99CC004   |                Cons  |7.9911*mm 7.9912*mm 17.90044*mm 17.90045*mm 39.28*mm 270*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             kapCone  |        biggestFrame  | the cap of the outermost cone  |                             0*mm 0*mm 41.11685*mm  |                     180*deg 0*deg 0*deg  |99CC004   |                Cons  |1.9982*mm 1.9983*mm 7.99124*mm 7.99125*mm 1.83685*mm 270*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             lh2Cone  |        biggestFrame  | the cap of the outermost cone  |                             0*mm 0*mm 41.11685*mm  |                     180*deg 0*deg 0*deg  |99CC004   |                Cons  |   0*mm 1.9983*mm 0*mm 7.99125*mm 1.83685*mm 270*deg 360*deg  |              G4_lH2  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          foamLayer1  |        biggestFrame  |the first foam layer approximately 111 degree wide enclosing the liquid duterium  |                                0*mm 0*mm -4.75*mm  |                     180*deg 0*deg 0*deg  |FFFF003   |                Cons  |3.5422*mm 5.838*mm 10.16675*mm 12.69565*mm 24.57105*mm 214.49*deg 111.02*deg  |          Rohacell31  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        myld2Storage  |        biggestFrame  |          the liquid duterimum  |                                 0*mm 0*mm -9.7*mm  |                       0*deg 0*deg 0*deg  |8000004   |                Cons  |0.001*mm 4.4162*mm 0.001*mm 10.1119*mm 20.3958*mm 270*deg 360*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   mycentralPipeline  |        biggestFrame  |The main pipeline going into the LD2 Storage Cone  |                                 0*mm 0*m  42.4*mm  |                       0*deg 0*deg 0*deg  |CCCC003   |                Tube  |                      0.5*mm 5*mm 43.2062*mm 270*deg 360*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           ld2System  |        biggestFrame  |ld2 storage - space inside which isnt ld2(i.e. central pipeline)  |                                  0*mm 0*mm -10*mm  |                     180*deg 0*deg 0*deg  |3399993   |Operation: myld2Storage -  mycentralPipeline  |                                                        0*mm  |                 LD2  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
