                 svt  |                root  |                    SVT Mother  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | cccccc   |                Tube  |         5.679969*cm 13.989852*cm 29.361501*cm 0*rad 360*rad  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
    faradayCageInner  |                 svt  |            Faraday Cage Inner  |                           0*cm 0*cm -3.0557505*cm  |                                   0 0 0  | bbbbcc   |                Tube  |                5.69*cm 5.715*cm 26.3057505*cm 0*rad 360*rad  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    faradayCageOuter  |                 svt  |            Faraday Cage Outer  |                           0*cm 0*cm -3.5557505*cm  |                                   0 0 0  | 333333   |                Tube  |                13.25*cm 13.3*cm 25.8057505*cm 0*rad 360*rad  |         carbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      faradayCageCap  |                 svt  |              Faraday Cage Cap  |                                0*cm 0*cm 22.75*cm  |                                   0 0 0  | ffffcc   |                Tube  |                       5.755*cm 13.2*cm 0.5*cm 0*rad 360*rad  |         rohacell110  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
faradayCageInsulation  |                 svt  |       Faraday Cage Insulation  |                           0*cm 0*cm -3.0557505*cm  |                                   0 0 0  | ff8888   |                Tube  |                13.3*cm 13.57*cm 26.3057505*cm 0*rad 360*rad  |            neoprene  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             region1  |                 svt  |                  SVT Region 1  |                             0*cm 0*cm -7.92635*cm  |                                   0 0 0  | cccccc   |                Tube  |                 5.78*cm 7.3992*cm 20.91275*cm 0*rad 360*rad  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
          sector1_r1  |             region1  |        SVT Sector 1, Region 1  |                             -0*cm -6.7028*cm 0*cm  |                                   0 0 0  | cccccc   |                 Box  |                                2.1*cm 0.2581*cm 20.91275*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
     module_m1_s1_r1  |          sector1_r1  |SVT Module 1, Sector 1, Region 1  |                          0*cm 0.1741*cm 2.6152*cm  |                                   0 0 0  | cccccc   |                 Box  |                                 2.1*cm 0.016*cm 16.75495*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
sensorPhysical1_m1_s1_r1  |     module_m1_s1_r1  |SVT Physical Sensor 1, Module 1, Sector 1, Region 1  |                             0*cm 0*cm -11.1737*cm  |                                   0 0 0  | ccffff   |                 Box  |                                  2.1*cm 0.016*cm 5.58125*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 1 module manual 1 strip manual 1 
sensorPhysical2_m1_s1_r1  |     module_m1_s1_r1  |SVT Physical Sensor 2, Module 1, Sector 1, Region 1  |                                   0*cm 0*cm -0*cm  |                                   0 0 0  | ccffff   |                 Box  |                                  2.1*cm 0.016*cm 5.58125*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 1 module manual 2 strip manual 1 
sensorPhysical3_m1_s1_r1  |     module_m1_s1_r1  |SVT Physical Sensor 3, Module 1, Sector 1, Region 1  |                              0*cm 0*cm 11.1737*cm  |                                   0 0 0  | ccffff   |                 Box  |                                  2.1*cm 0.016*cm 5.58125*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |superlayer manual 1 type manual 1 segment manual 1 module manual 3 strip manual 1 
pitchAdaptor_m1_s1_r1  |          sector1_r1  |SVT Pitch Adaptor 1, Sector 1, Region 1  |                       0*cm 0.1741*cm -14.40975*cm  |                                   0 0 0  | cccccc   |                 Box  |                                    2.075*cm 0.016*cm 0.2*cm  |  G4_SILICON_DIOXIDE  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
carbonFiber_m1_s1_r1  |          sector1_r1  |SVT Carbon Fiber 1, Sector 1, Region 1  |                         0*cm 0.1345*cm 0.82925*cm  |                                   0 0 0  | 333333   |                 Box  |                                  2.1*cm 0.0095*cm 20.082*cm  |         carbonFiber  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
carbonFiberCu_m1_s1_r1  |carbonFiber_m1_s1_r1  |SVT Carbon Fiber 1, Sector 1, Region 1  |                              0*cm 0*cm -17.753*cm  |                                   0 0 0  | 333333   |                 Box  |                                1.8375*cm 0.0095*cm 2.329*cm  |         carbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
carbonFiberPk_m1_s1_r1  |carbonFiber_m1_s1_r1  |SVT Carbon Fiber 1, Sector 1, Region 1  |                                0*cm 0*cm 2.329*cm  |                                   0 0 0  | 333333   |                 Box  |                                 2.05*cm 0.0095*cm 17.753*cm  |         carbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   busCable_m1_s1_r1  |          sector1_r1  |SVT Bus Cable 1, Sector 1, Region 1  |                         0*cm 0.1479*cm 0.82925*cm  |                                   0 0 0  | 666666   |                 Box  |                                  2.1*cm 0.0039*cm 20.082*cm  |            BusCable  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
 busCableCu_m1_s1_r1  |   busCable_m1_s1_r1  |SVT Bus Cable 1, Sector 1, Region 1  |                              0*cm 0*cm -17.753*cm  |                                   0 0 0  | 666666   |                 Box  |                                1.8375*cm 0.0039*cm 2.329*cm  |            BusCable  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 busCablePk_m1_s1_r1  |   busCable_m1_s1_r1  |SVT Bus Cable 1, Sector 1, Region 1  |                                0*cm 0*cm 2.329*cm  |                                   0 0 0  | 666666   |                 Box  |                                2.05*cm 0.00295*cm 17.753*cm  |            BusCable  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
pcBoardAndChips_m1_s1_r1  |          sector1_r1  |SVT HFCB 1, Sector 1, Region 1  |                       0*cm 0.2081*cm -16.71175*cm  |                                   0 0 0  | cccccc   |                 Box  |                                  1.8365*cm 0.05*cm 2.072*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
    pcBoard_m1_s1_r1  |pcBoardAndChips_m1_s1_r1  |SVT HFCB 1, Sector 1, Region 1  |                               0*cm -0.025*cm 0*cm  |                                   0 0 0  | ffff99   |                 Box  |                                 1.8365*cm 0.025*cm 2.072*cm  |     pcBoardMaterial  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      chipL_m1_s1_r1  |pcBoardAndChips_m1_s1_r1  |SVT HFCB 1, Sector 1, Region 1  |                        0.999*cm 0.025*cm 1.768*cm  |                                   0 0 0  | cccc00   |                 Box  |                                   0.375*cm 0.025*cm 0.25*cm  |     pcBoardMaterial  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      chipR_m1_s1_r1  |pcBoardAndChips_m1_s1_r1  |SVT HFCB 1, Sector 1, Region 1  |                       -0.999*cm 0.025*cm 1.768*cm  |                                   0 0 0  | cccc00   |                 Box  |                                   0.375*cm 0.025*cm 0.25*cm  |     pcBoardMaterial  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
epoxyAndRailAndPads_m1_s1_r1  |          sector1_r1  |SVT Epoxy Glue and HV Rail and Pads 1, Sector 1, Region 1  |                        0*cm 0.15495*cm 0.82925*cm  |                                   0 0 0  | cccccc   |                 Box  |                                2.05*cm 0.00315*cm 20.082*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
