                ctof  |                root  |     Central TOF Mother Volume  |                                  0*cm 0.0*cm 0*mm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                  25*cm 28.2226*cm 40.34155*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
           paddle_01  |                ctof  |Central TOF Scintillator number 1  |                           26.611*cm 0.000*cm 0*cm  |                     90*deg 90*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 1 
           paddle_02  |                ctof  |Central TOF Scintillator number 2  |                           26.384*cm 3.473*cm 0*cm  |                   90*deg 97.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 2 
           paddle_03  |                ctof  |Central TOF Scintillator number 3  |                           25.705*cm 6.888*cm 0*cm  |                    90*deg 105*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 3 
           paddle_04  |                ctof  |Central TOF Scintillator number 4  |                          24.586*cm 10.184*cm 0*cm  |                  90*deg 112.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 4 
           paddle_05  |                ctof  |Central TOF Scintillator number 5  |                          23.046*cm 13.306*cm 0*cm  |                    90*deg 120*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 5 
           paddle_06  |                ctof  |Central TOF Scintillator number 6  |                          21.112*cm 16.200*cm 0*cm  |                  90*deg 127.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 6 
           paddle_07  |                ctof  |Central TOF Scintillator number 7  |                          18.817*cm 18.817*cm 0*cm  |                    90*deg 135*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 7 
           paddle_08  |                ctof  |Central TOF Scintillator number 8  |                          16.200*cm 21.112*cm 0*cm  |                  90*deg 142.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 8 
           paddle_09  |                ctof  |Central TOF Scintillator number 9  |                          13.306*cm 23.046*cm 0*cm  |                    90*deg 150*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                         paddle manual 9 
           paddle_10  |                ctof  |Central TOF Scintillator number 10  |                          10.184*cm 24.586*cm 0*cm  |                  90*deg 157.5*deg 0*deg  | 66bbff   |                 Trd  |      1.8034*cm 1.60528*cm 40.34155*cm 40.34155*cm 1.5113*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ctof  |                ctof  |                        paddle manual 10 
