mm_radius_layer1   		|  145.00  | mm  |  center radii of barrel MM 					| Sebastien Procureur   | sebastien.procureur@cea.fr | link to pdf drawing | variable name on the drawing | David Kashy | 12/12/12
BMT_mothervol_InnerRadius 	|  200.000 | mm	 | Mother volume inner radius					| Sebastien Procureur	| sebastien.procureur@cea.fr     | - | - | - | 07/06/12
BMT_mothervol_OutRadius 	|  235.000 | mm  | Mother volume outer radius 					| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
BMT_mothervol_HalfLength 	|  295.000 | mm  | Mother volume half length (in z) 				| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
BMT_nlayer		 	|    6	   | na  | Number of layers     					| Sebastien Procureur	| sebastien.procureur@cea.fr     | - | - | - | 07/06/12
BMT_ntile		 	|    3	   | na  | Number of tiles per layer     				| Sebastien Procureur	| sebastien.procureur@cea.fr     | - | - | - | 07/06/12
BMT_radius_layer1 		|  145.731 | mm  | Radius of the 1st layer of MM		 		| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
BMT_radius_layer2 		|  160.731 | mm  | Radius of the 2nd layer of MM		 		| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
BMT_radius_layer3 		|  175.731 | mm  | Radius of the 3rd layer of MM		 		| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
BMT_radius_layer4 		|  190.731 | mm  | Radius of the 4th layer of MM		 		| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
BMT_radius_layer5 		|  205.731 | mm  | Radius of the 5th layer of MM		 		| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
BMT_radius_layer6 		|  220.731 | mm  | Radius of the 6th layer of MM		 		| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
BMT_zpos_layer1 		| -127.820 | mm  | Position of the 1st layer (in z) 				| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
BMT_zpos_layer2 		| -127.820 | mm  | Position of the 2nd layer (in z) 				| Frederic Georges	| frederic.georges@cea.fr     | - | - | - | 18/08/2015
