               ec_s1  |                  fc  |Forward Calorimeter - Sector 1  |                  2323.59757*mm 0*mm 7242.94484*mm  |        ordered: zxy 90*deg 25*deg 0*deg  | ff1111   |              G4Trap  |320.039*mm 0*deg 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
               ec_s2  |                  fc  |Forward Calorimeter - Sector 2  |         1161.79879*mm 2012.29453*mm 7242.94484*mm  |        ordered: zxy 30*deg 25*deg 0*deg  | ff1111   |              G4Trap  |320.039*mm 0*deg 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
               ec_s3  |                  fc  |Forward Calorimeter - Sector 3  |        -1161.79879*mm 2012.29453*mm 7242.94484*mm  |       ordered: zxy -30*deg 25*deg 0*deg  | ff1111   |              G4Trap  |320.039*mm 0*deg 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
               ec_s4  |                  fc  |Forward Calorimeter - Sector 4  |                 -2323.59757*mm 0*mm 7242.94484*mm  |       ordered: zxy -90*deg 25*deg 0*deg  | ff1111   |              G4Trap  |320.039*mm 0*deg 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
               ec_s5  |                  fc  |Forward Calorimeter - Sector 5  |       -1161.79879*mm -2012.29453*mm 7242.94484*mm  |      ordered: zxy -150*deg 25*deg 0*deg  | ff1111   |              G4Trap  |320.039*mm 0*deg 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
               ec_s6  |                  fc  |Forward Calorimeter - Sector 6  |        1161.79879*mm -2012.29453*mm 7242.94484*mm  |      ordered: zxy -210*deg 25*deg 0*deg  | ff1111   |              G4Trap  |320.039*mm 0*deg 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg 2037.3422*mm 0.001*mm 2082.77380182592*mm 0*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
           eclid1_s1  |               ec_s1  |        Stainless Steel Skin 1  |                             0*mm 0*mm -319.064*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid2_s1  |               ec_s1  |                   Last-a-Foam  |                             0*mm 0*mm -280.089*mm  |                       0*deg 0*deg 0*deg  | EED18C   |              G4Trap  |38.1*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |           LastaFoam  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid3_s1  |               ec_s1  |        Stainless Steel Skin 2  |                             0*mm 0*mm -241.114*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid1_s2  |               ec_s2  |        Stainless Steel Skin 1  |                             0*mm 0*mm -319.064*mm  |                       0*deg 0*deg 0*deg  | FCFFF0   |              G4Trap  |0.875*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           eclid2_s2  |               ec_s2  |                   Last-a-Foam  |                             0*mm 0*mm -280.089*mm  |                       0*deg 0*deg 0*deg  | EED18C   |              G4Trap  |38.1*mm 0*deg 0*deg 1864.65*mm 0.001*mm 1909.27940772151*mm 0*deg 1864.65*mm 0.001*mm  1909.27940772151*mm  0*deg  |           LastaFoam  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
