            ltccTrap  |                root  |Light Threshold Cerenkov Counter  |                                             0 0 0  |                                   0 0 0  | 110088   |              G4Trap  |500*mm 0*deg 0*deg 1700*mm 240*mm 2000*mm 0*deg 1700*mm 5*mm 1765*mm 0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          ltccTopBox  |                root  |     Box to subtract from LTCC  |      0*mm 1237.75514249454*mm 2524.28994835313*mm  |      -0.349065850398866*rad 0*deg 0*deg  | 110088   |                 Box  |                                      3000*mm 600*mm 3000*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     ltccMinusTopBox  |                root  |            Trap minus Top Box  |                                             0 0 0  |                                   0 0 0  | 110088   |Operation:  ltccTrap - ltccTopBox  |                                                           0  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        ltccTubeHole  |                root  |    Tube to subtract from LTCC  |                              0*mm -600*mm 3500*mm  |                      0*deg 90*deg 0*deg  | 110088   |                Tube  |                          0*mm 3250*mm 4500*mm 0*deg 360*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   ltccTrapMinusHole  |                root  | Trap minus Top Box minus Tube  |                                             0 0 0  |                                   0 0 0  | 110088   |Operation:  ltccMinusTopBox - ltccTubeHole  |                                                           0  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       ltccBottomBox  |                root  |     Box to subtract from LTCC  |     0*mm -1257.19144440722*mm 2557.01797050251*mm  |       0.436332312998582*rad 0*deg 0*deg  | 110088   |                 Box  |                                      3000*mm 800*mm 3000*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
             trapBox  |                root  |Trap minus Top Box minus Tube minus Bottom Box  |                              0*mm 1800*mm 3900*mm  |                    25*deg 180*deg 0*deg  | 110088   |Operation:  ltccTrapMinusHole - ltccBottomBox  |                                                           0  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        ltcc_big_box  |                root  |Light Threshold Cerenkov Counter Box at the origin  |                                             0 0 0  |                                   0 0 0  | 999999   |                 Box  |                                                 3*m 5*m 6*m  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
              ltccS1  |                  fc  |                 ltcc sector 1  |                                 0*mm 0*mm 1700*mm  |                      0*deg 0*deg 90*deg  | 110088   |Operation:  ltcc_big_box * trapBox  |                                                           0  |               C4F10  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
              ltccS2  |                  fc  |                 ltcc sector 2  |                                 0*mm 0*mm 1700*mm  |                      0*deg 0*deg 30*deg  | 110088   |Operation:  ltcc_big_box * trapBox  |                                                           0  |               C4F10  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
              ltccS3  |                  fc  |                 ltcc sector 3  |                                 0*mm 0*mm 1700*mm  |                     0*deg 0*deg -30*deg  | 110088   |Operation:  ltcc_big_box * trapBox  |                                                           0  |               C4F10  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
              ltccS4  |                  fc  |                 ltcc sector 4  |                                 0*mm 0*mm 1700*mm  |                     0*deg 0*deg -90*deg  | 110088   |Operation:  ltcc_big_box * trapBox  |                                                           0  |               C4F10  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
              ltccS5  |                  fc  |                 ltcc sector 5  |                                 0*mm 0*mm 1700*mm  |                    0*deg 0*deg -150*deg  | 110088   |Operation:  ltcc_big_box * trapBox  |                                                           0  |               C4F10  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
              ltccS6  |                  fc  |                 ltcc sector 6  |                                 0*mm 0*mm 1700*mm  |                    0*deg 0*deg -210*deg  | 110088   |Operation:  ltcc_big_box * trapBox  |                                                           0  |               C4F10  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       pmt_s1right_1  |              ltccS1  |                   PMT right 1  |                    17.36*cm 62.0225*cm 457.525*cm  |                7.72*deg -30.8*deg 0*deg  | 800000   |                Tube  |                              0*cm 5.5*cm 1*cm 0*deg 360*deg  |        LTCCPMTGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                ltcc  |                ltcc  |sector manual 1 side manual 1 segment manual 1 
        pmt_s1left_1  |              ltccS1  |                    PMT left 1  |                   -17.36*cm 62.0225*cm 457.525*cm  |                 7.72*deg 30.8*deg 0*deg  | 800000   |                Tube  |                              0*cm 5.5*cm 1*cm 0*deg 360*deg  |        LTCCPMTGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                ltcc  |                ltcc  |sector manual 1 side manual 2 segment manual 1 
pmt_light_stopper_s1right_1  |       pmt_s1right_1  |     PMT light stopper right 1  |                                             0 0 0  |                                   0 0 0  | 558844   |                Tube  |                           0*cm 5.49*cm 0.5*cm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
pmt_light_stopper_s1left_1  |        pmt_s1left_1  |      PMT light stopper left 1  |                                             0 0 0  |                                   0 0 0  | 558844   |                Tube  |                           0*cm 5.49*cm 0.5*cm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       cone_s1left_1  |              ltccS1  |                   cone left 1  |                  -9.5397*cm 51.2011*cm 441.615*cm  |             7.72*deg 30.8*deg -30.8*deg  | aa9999   |         CopyOf WC_S  |                                                           0  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   | mirror: ltcc_AlMgF2  |              mirror  |                                      no 
    shield_s1right_1  |              ltccS1  |                shield right 1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                       7.395*cm 7.7*cm 11*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
subtraction_shield_s1right_1  |              ltccS1  |    Subtraction shield right 1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                     7.295*cm 7.6*cm 11.1*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
final_shield_s1right1  |              ltccS1  |       combined shield right 1  |                  12.9616*cm 61.0313*cm 450.214*cm  |             7.72*deg -30.8*deg 30.8*deg  | 202020   |Operation:  shield_s1right_1 - subtraction_shield_s1right_1  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     shield_s1left_1  |              ltccS1  |                 shield left 1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                       7.395*cm 7.7*cm 11*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
subtraction_shield_s1left_1  |              ltccS1  |     Subtraction shield left 1  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                     7.295*cm 7.6*cm 11.1*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
final_shield_s1left_1  |              ltccS1  |        combined shield left 1  |                 -12.9616*cm 61.0313*cm 450.214*cm  |             7.72*deg 30.8*deg -30.8*deg  | 202020   |Operation:  shield_s1left_1 - subtraction_shield_s1left_1  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
cyl_mirrors_s1right_1  |              ltccS1  |           cyl mirrors right 1  |                 6.40228*cm  59.5532*cm  439.31*cm  |             -172.28*deg 30.8*deg 20*deg  | aaffff   |                Tube  |                          6.2*cm 6.3*cm 3*cm 0*deg 120.8*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   | mirror: ltcc_AlMgF2  |              mirror  |                                      no 
