           pcal_s1 |       fc | 209.837207*cm 0.000000*cm 682.417577*cm | ordered: zxy 90.0*deg 25.0*deg 0.0*deg |   G4Trap | 14.9118*cm 0.0*rad 0.0*rad 192.67503532012952*cm 1.0E-6*cm 197.15000000000003*cm 0.0*rad 192.67503532012952*cm 1.0E-6*cm 197.15000000000003*cm 0.0*rad  | 
Stainless_Steel_Front_1_s1 |  pcal_s1 | 0.000000*cm 0.000000*cm -14.761700*cm | 0 0 0 |   G4Trap | 0.1*cm 0.0*rad 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad  | 
Last-a-Foam_Front_s1 |  pcal_s1 | 0.000000*cm 0.000000*cm -12.121600*cm | 0 0 0 |   G4Trap | 2.54*cm 0.0*rad 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad  | 
Stainless_Steel_Front_2_s1 |  pcal_s1 | 0.000000*cm 0.000000*cm -9.481500*cm | 0 0 0 |   G4Trap | 0.1*cm 0.0*rad 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad  | 
U-view-scintillator_1_s1 |  pcal_s1 | 0.000000*cm 0.000000*cm -8.856400*cm | 0 0 0 |   G4Trap | 0.525*cm 0.0*rad 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad 192.6250353201295*cm 1.0E-6*cm 197.10000100000002*cm 0.0*rad  | 
U-view_single_strip_1_0_s1 | U-view-scintillator_1_s1 | 0.000000*cm -189.000000*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 3.6000353201295128*cm 0.012790393501578953*cm 3.6964598626247165*cm 0.0*rad 3.6000353201295128*cm 0.012790393501578953*cm 3.6964598626247165*cm 0.0*rad  | 
U-view_single_strip_1_1_s1 | U-view-scintillator_1_s1 | 0.000000*cm -183.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 3.7220406496278744*cm 5.998730692908928*cm 0.0*rad 2.225*cm 3.7220406496278744*cm 5.998730692908928*cm 0.0*rad  | 
U-view_single_strip_1_2_s1 | U-view-scintillator_1_s1 | 0.000000*cm -178.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 6.024311479912086*cm 8.301001523193138*cm 0.0*rad 2.225*cm 6.024311479912086*cm 8.301001523193138*cm 0.0*rad  | 
U-view_single_strip_1_3_s1 | U-view-scintillator_1_s1 | 0.000000*cm -174.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 8.326582310196295*cm 10.60327235347735*cm 0.0*rad 2.225*cm 8.326582310196295*cm 10.60327235347735*cm 0.0*rad  | 
U-view_single_strip_1_4_s1 | U-view-scintillator_1_s1 | 0.000000*cm -169.624965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 10.628853140480507*cm 12.90554318376156*cm 0.0*rad 2.225*cm 10.628853140480507*cm 12.90554318376156*cm 0.0*rad  | 
U-view_single_strip_1_5_s1 | U-view-scintillator_1_s1 | 0.000000*cm -165.124965*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 2.225*cm 12.931123970764718*cm 15.207814014045772*cm 0.0*rad 2.225*cm 12.931123970764718*cm 15.207814014045772*cm 0.0*rad  | 
