              sc01 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22   1
              sc02 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22   2
              sc03 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22   3
              sc04 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22   4
              sc05 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22   5
              sc06 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22   6
              sc07 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22   7
              sc08 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22   8
              sc09 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22   9
              sc10 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  10
              sc11 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  11
              sc12 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  12
              sc13 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  13
              sc14 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  14
              sc15 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  15
              sc16 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  16
              sc17 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  17
              sc18 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  18
              sc19 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  19
              sc20 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  20
              sc21 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  21
              sc22 |       fc | 0.000000*cm 0.000000*cm 127.327000*cm | 0.0*deg 180.0*deg 0.0*deg |      Stl |  |   22  22
