             ec_s1 |       fc | 232.626345*cm 0.000000*cm 723.866183*cm | ordered: zxy 90.0*deg 25.0*deg 0.0*deg |   G4Trap | 26.7767*cm 0.0*rad 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad 204.35336*cm 1.0E-6*cm 209.32463509128354*cm 0.0*rad  | 
         eclid1_s1 |    ec_s1 | 0.000000*cm 0.000000*cm -26.647225*cm | 0 0 0 |   G4Trap | 0.079375*cm 0.0*rad 0.0*rad 186.588001*cm 1.0E-6*cm 191.12821160497333*cm 0.0*rad 186.588001*cm 1.0E-6*cm 191.12821160497333*cm 0.0*rad  | 
         eclid2_s1 |    ec_s1 | 0.000000*cm 0.000000*cm -24.027750*cm | 0 0 0 |   G4Trap | 2.54*cm 0.0*rad 0.0*rad 186.588001*cm 1.0E-6*cm 191.12821160497333*cm 0.0*rad 186.588001*cm 1.0E-6*cm 191.12821160497333*cm 0.0*rad  | 
         eclid3_s1 |    ec_s1 | 0.000000*cm 0.000000*cm -21.408275*cm | 0 0 0 |   G4Trap | 0.079375*cm 0.0*rad 0.0*rad 186.588001*cm 1.0E-6*cm 191.12821160497333*cm 0.0*rad 186.588001*cm 1.0E-6*cm 191.12821160497333*cm 0.0*rad  | 
U-scintillator_1_s1_view_1_stack_1 |    ec_s1 | 0.000000*cm 0.000000*cm -20.828800*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 186.588001*cm 1.0E-6*cm 191.12821160497333*cm 0.0*rad 186.588001*cm 1.0E-6*cm 191.12821160497333*cm 0.0*rad  | 
U_strip_1_1_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -181.404999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 5.121664056119378E-7*cm 5.309117472739753*cm 0.0*rad 5.183*cm 5.121664056119378E-7*cm 5.309117472739753*cm 0.0*rad  | 
U_strip_1_2_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -171.038999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 5.309117472739753*cm 10.6182344333131*cm 0.0*rad 5.183*cm 5.309117472739753*cm 10.6182344333131*cm 0.0*rad  | 
U_strip_1_3_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -160.672999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 10.6182344333131*cm 15.927351393886447*cm 0.0*rad 5.183*cm 10.6182344333131*cm 15.927351393886447*cm 0.0*rad  | 
U_strip_1_4_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -150.306999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 15.927351393886447*cm 21.236468354459795*cm 0.0*rad 5.183*cm 15.927351393886447*cm 21.236468354459795*cm 0.0*rad  | 
U_strip_1_5_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -139.940999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 21.236468354459795*cm 26.545585315033144*cm 0.0*rad 5.183*cm 21.236468354459795*cm 26.545585315033144*cm 0.0*rad  | 
U_strip_1_6_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -129.574999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 26.545585315033144*cm 31.85470227560649*cm 0.0*rad 5.183*cm 26.545585315033144*cm 31.85470227560649*cm 0.0*rad  | 
U_strip_1_7_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -119.208999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 31.85470227560649*cm 37.16381923617984*cm 0.0*rad 5.183*cm 31.85470227560649*cm 37.16381923617984*cm 0.0*rad  | 
U_strip_1_8_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -108.842999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 37.16381923617984*cm 42.47293619675318*cm 0.0*rad 5.183*cm 37.16381923617984*cm 42.47293619675318*cm 0.0*rad  | 
U_strip_1_9_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -98.476999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 42.47293619675318*cm 47.78205315732653*cm 0.0*rad 5.183*cm 42.47293619675318*cm 47.78205315732653*cm 0.0*rad  | 
U_strip_1_10_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -88.110999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 47.78205315732653*cm 53.09117011789988*cm 0.0*rad 5.183*cm 47.78205315732653*cm 53.09117011789988*cm 0.0*rad  | 
U_strip_1_11_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -77.744999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 53.09117011789988*cm 58.40028707847323*cm 0.0*rad 5.183*cm 53.09117011789988*cm 58.40028707847323*cm 0.0*rad  | 
U_strip_1_12_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -67.378999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 58.40028707847323*cm 63.709404039046575*cm 0.0*rad 5.183*cm 58.40028707847323*cm 63.709404039046575*cm 0.0*rad  | 
U_strip_1_13_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -57.012999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 63.709404039046575*cm 69.01852099961991*cm 0.0*rad 5.183*cm 63.709404039046575*cm 69.01852099961991*cm 0.0*rad  | 
U_strip_1_14_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -46.646999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 69.01852099961991*cm 74.32763796019326*cm 0.0*rad 5.183*cm 69.01852099961991*cm 74.32763796019326*cm 0.0*rad  | 
U_strip_1_15_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -36.280999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 74.32763796019326*cm 79.63675492076659*cm 0.0*rad 5.183*cm 74.32763796019326*cm 79.63675492076659*cm 0.0*rad  | 
U_strip_1_16_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -25.914999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 79.63675492076659*cm 84.94587188133994*cm 0.0*rad 5.183*cm 79.63675492076659*cm 84.94587188133994*cm 0.0*rad  | 
U_strip_1_17_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -15.548999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 84.94587188133994*cm 90.25498884191327*cm 0.0*rad 5.183*cm 84.94587188133994*cm 90.25498884191327*cm 0.0*rad  | 
U_strip_1_18_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm -5.182999*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 90.25498884191327*cm 95.56410580248662*cm 0.0*rad 5.183*cm 90.25498884191327*cm 95.56410580248662*cm 0.0*rad  | 
U_strip_1_19_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 5.183001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 95.56410580248662*cm 100.87322276305996*cm 0.0*rad 5.183*cm 95.56410580248662*cm 100.87322276305996*cm 0.0*rad  | 
U_strip_1_20_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 15.549001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 100.87322276305996*cm 106.18233972363329*cm 0.0*rad 5.183*cm 100.87322276305996*cm 106.18233972363329*cm 0.0*rad  | 
U_strip_1_21_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 25.915001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 106.18233972363329*cm 111.49145668420664*cm 0.0*rad 5.183*cm 106.18233972363329*cm 111.49145668420664*cm 0.0*rad  | 
U_strip_1_22_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 36.281001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 111.49145668420664*cm 116.80057364477997*cm 0.0*rad 5.183*cm 111.49145668420664*cm 116.80057364477997*cm 0.0*rad  | 
U_strip_1_23_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 46.647001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 116.80057364477997*cm 122.10969060535332*cm 0.0*rad 5.183*cm 116.80057364477997*cm 122.10969060535332*cm 0.0*rad  | 
U_strip_1_24_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 57.013001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 122.10969060535332*cm 127.41880756592666*cm 0.0*rad 5.183*cm 122.10969060535332*cm 127.41880756592666*cm 0.0*rad  | 
U_strip_1_25_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 67.379001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 127.41880756592666*cm 132.7279245265*cm 0.0*rad 5.183*cm 127.41880756592666*cm 132.7279245265*cm 0.0*rad  | 
U_strip_1_26_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 77.745001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 132.7279245265*cm 138.03704148707334*cm 0.0*rad 5.183*cm 132.7279245265*cm 138.03704148707334*cm 0.0*rad  | 
U_strip_1_27_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 88.111001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 138.03704148707334*cm 143.34615844764667*cm 0.0*rad 5.183*cm 138.03704148707334*cm 143.34615844764667*cm 0.0*rad  | 
U_strip_1_28_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 98.477001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 143.34615844764667*cm 148.65527540822*cm 0.0*rad 5.183*cm 143.34615844764667*cm 148.65527540822*cm 0.0*rad  | 
U_strip_1_29_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 108.843001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 148.65527540822*cm 153.96439236879337*cm 0.0*rad 5.183*cm 148.65527540822*cm 153.96439236879337*cm 0.0*rad  | 
U_strip_1_30_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 119.209001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 153.96439236879337*cm 159.2735093293667*cm 0.0*rad 5.183*cm 153.96439236879337*cm 159.2735093293667*cm 0.0*rad  | 
U_strip_1_31_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 129.575001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 159.2735093293667*cm 164.58262628994004*cm 0.0*rad 5.183*cm 159.2735093293667*cm 164.58262628994004*cm 0.0*rad  | 
U_strip_1_32_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 139.941001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 164.58262628994004*cm 169.89174325051337*cm 0.0*rad 5.183*cm 164.58262628994004*cm 169.89174325051337*cm 0.0*rad  | 
U_strip_1_33_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 150.307001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 169.89174325051337*cm 175.20086021108673*cm 0.0*rad 5.183*cm 169.89174325051337*cm 175.20086021108673*cm 0.0*rad  | 
U_strip_1_34_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 160.673001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 175.20086021108673*cm 180.50997717166007*cm 0.0*rad 5.183*cm 175.20086021108673*cm 180.50997717166007*cm 0.0*rad  | 
U_strip_1_35_s1_stack_1 | U-scintillator_1_s1_view_1_stack_1 | 0.000000*cm 171.039001*cm 0.000000*cm | 0 0 0 |   G4Trap | 0.5*cm 0.0*rad 0.0*rad 5.183*cm 180.50997717166007*cm 185.8190941322334*cm 0.0*rad 5.183*cm 180.50997717166007*cm 185.8190941322334*cm 0.0*rad  | 
