                band  |                root  |         Mother volume of BAND  |                             2*mm 0*mm -2308.71*mm  |                     0*deg 180*deg 0*deg  | 339999   |                Pgon  |-45*deg 360*deg 4*counts 3*counts 160*mm 160*mm 160*mm 1500*mm 1500*mm 1500*mm -462.3*mm 0*mm 900*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    scintillator_101  |                band  |              Scintillator 101  |                              0*mm 921.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | ff00ff   |                 Box  |                                        818.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 1 layer manual 1 component manual 1 side manual 0 
     pmtshield_101 L  |                band  |   Mu metal shield for pmt 101  |                         -947.4*mm 921.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_101 R  |                band  |   Mu metal shield for pmt 101  |                          947.4*mm 921.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_102  |                band  |              Scintillator 102  |                              0*mm 848.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | ff00ff   |                 Box  |                                        818.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 1 layer manual 1 component manual 2 side manual 0 
     pmtshield_102 L  |                band  |   Mu metal shield for pmt 102  |                         -947.4*mm 848.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_102 R  |                band  |   Mu metal shield for pmt 102  |                          947.4*mm 848.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_103  |                band  |              Scintillator 103  |                              0*mm 775.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | ff00ff   |                 Box  |                                        818.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 1 layer manual 1 component manual 3 side manual 0 
     pmtshield_103 L  |                band  |   Mu metal shield for pmt 103  |                         -947.4*mm 775.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_103 R  |                band  |   Mu metal shield for pmt 103  |                          947.4*mm 775.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_104  |                band  |              Scintillator 104  |                              0*mm 702.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 2 layer manual 1 component manual 1 side manual 0 
     pmtshield_104 L  |                band  |   Mu metal shield for pmt 104  |                       -1138.74*mm 702.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_104 R  |                band  |   Mu metal shield for pmt 104  |                        1138.74*mm 702.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_105  |                band  |              Scintillator 105  |                              0*mm 629.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 2 layer manual 1 component manual 2 side manual 0 
     pmtshield_105 L  |                band  |   Mu metal shield for pmt 105  |                       -1138.74*mm 629.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_105 R  |                band  |   Mu metal shield for pmt 105  |                        1138.74*mm 629.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_106  |                band  |              Scintillator 106  |                              0*mm 556.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 2 layer manual 1 component manual 3 side manual 0 
     pmtshield_106 L  |                band  |   Mu metal shield for pmt 106  |                       -1138.74*mm 556.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_106 R  |                band  |   Mu metal shield for pmt 106  |                        1138.74*mm 556.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_107  |                band  |              Scintillator 107  |                              0*mm 483.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 2 layer manual 1 component manual 4 side manual 0 
     pmtshield_107 L  |                band  |   Mu metal shield for pmt 107  |                       -1138.74*mm 483.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_107 R  |                band  |   Mu metal shield for pmt 107  |                        1138.74*mm 483.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_108  |                band  |              Scintillator 108  |                              0*mm 410.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 2 layer manual 1 component manual 5 side manual 0 
     pmtshield_108 L  |                band  |   Mu metal shield for pmt 108  |                       -1138.74*mm 410.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_108 R  |                band  |   Mu metal shield for pmt 108  |                        1138.74*mm 410.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_109  |                band  |              Scintillator 109  |                              0*mm 337.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 2 layer manual 1 component manual 6 side manual 0 
     pmtshield_109 L  |                band  |   Mu metal shield for pmt 109  |                       -1138.74*mm 337.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_109 R  |                band  |   Mu metal shield for pmt 109  |                        1138.74*mm 337.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    scintillator_110  |                band  |              Scintillator 110  |                              0*mm 264.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 007fff   |                 Box  |                                       1009.5*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 2 layer manual 1 component manual 7 side manual 0 
     pmtshield_110 L  |                band  |   Mu metal shield for pmt 110  |                       -1138.74*mm 264.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     pmtshield_110 R  |                band  |   Mu metal shield for pmt 110  |                        1138.74*mm 264.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  scintillator_111 B  |                band  |              Short Bars 111 B  |                          753.5*mm 191.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 4cbb17   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 4 layer manual 1 component manual 1 side manual 0 
  scintillator_111 A  |                band  |              Short Bars 111 A  |                         -753.5*mm 191.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 32cd32   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 3 layer manual 1 component manual 1 side manual 0 
  pmtshield_111 Lout  |                band  |   Mu metal shield for pmt 111  |                       -1138.74*mm 191.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  pmtshield_111 Rout  |                band  |   Mu metal shield for pmt 111  |                        1138.74*mm 191.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   pmtshield_111 Rin  |                band  |   Mu metal shield for pmt 111  |                       -368.263*mm 191.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   pmtshield_111 Lin  |                band  |   Mu metal shield for pmt 111  |                        368.263*mm 191.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  scintillator_112 B  |                band  |              Short Bars 112 B  |                          753.5*mm 118.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 4cbb17   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 4 layer manual 1 component manual 2 side manual 0 
  scintillator_112 A  |                band  |              Short Bars 112 A  |                         -753.5*mm 118.2*mm 655*mm  |                       0*deg 0*deg 0*deg  | 32cd32   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 3 layer manual 1 component manual 2 side manual 0 
  pmtshield_112 Lout  |                band  |   Mu metal shield for pmt 112  |                       -1138.74*mm 118.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  pmtshield_112 Rout  |                band  |   Mu metal shield for pmt 112  |                        1138.74*mm 118.2*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
