                ecal  |              bankid  |                                      ecal bank ID  | 1600   |                  Di  
                ecal  |              sector  |                                      sector (1-6)  |    1   |                  Di  
                ecal  |               layer  |                                      layer (1..9)  |    2   |                  Di  
                ecal  |           component  |                                             strip  |    3   |                  Di  
                ecal  |           ADC_order  |                                          always 0  |    4   |                  Di  
                ecal  |             ADC_ADC  |                                         ADC value  |    5   |                  Di  
                ecal  |            ADC_time  |                               time from pulse fit  |    6   |                  Dd  
                ecal  |             ADC_ped  |                      pedestal from pulse analysis  |    7   |                  Di  
                ecal  |           TDC_order  |                                          always 2  |    8   |                  Di  
                ecal  |             TDC_TDC  |                                         TDC value  |    9   |                  Di  
                ecal  |                hitn  |                                        hit number  |   99   |                  Di  
