    SphericalMirror1  |             RICH_s4  |  Spherical Mirror 1 component  |                                             0 0 0  |                                   0 0 0  | 999999   |              Sphere  |         2700*mm 2701*mm 122*deg 12.25*deg 60.0*deg 15.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   SphericalMirror1B  |             RICH_s4  |             SphericalMirror1B  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |         2700*mm 2701*mm 122*deg 12.25*deg 75.0*deg 15.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   | mirror: rich_AlMgF2  |              mirror  |                            id manual 10 
   SphericalMirror1C  |             RICH_s4  |             SphericalMirror1C  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |         2700*mm 2701*mm 122*deg 12.25*deg 90.0*deg 15.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   | mirror: rich_AlMgF2  |              mirror  |                            id manual 11 
   SphericalMirror1D  |             RICH_s4  |             SphericalMirror1D  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |        2700*mm 2701*mm 122*deg 12.25*deg 105.0*deg 15.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    SphericalMirror2  |             RICH_s4  |              SphericalMirror2  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |       2700*mm 2701*mm 134.25*deg 11.5*deg 60.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   SphericalMirror2B  |             RICH_s4  |             SphericalMirror2B  |                       -458.68*mm 0*mm  3919.77*mm  |                        90*deg 0 -90*deg  | 696277   |              Sphere  |       2700*mm 2701*mm 134.25*deg 11.5*deg 81.0*deg 18.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   | mirror: rich_AlMgF2  |              mirror  |                            id manual 12 
   SphericalMirror2C  |             RICH_s4  |             SphericalMirror2C  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |       2700*mm 2701*mm 134.25*deg 11.5*deg 99.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
    SphericalMirror3  |             RICH_s4  |              SphericalMirror3  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |      2700*mm 2701*mm 145.75*deg 11.25*deg 60.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   SphericalMirror3B  |             RICH_s4  |             SphericalMirror3B  |                       -458.68*mm 0*mm  3919.77*mm  |                        90*deg 0 -90*deg  | 696277   |              Sphere  |      2700*mm 2701*mm 145.75*deg 11.25*deg 81.0*deg 18.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   | mirror: rich_AlMgF2  |              mirror  |                            id manual 13 
   SphericalMirror3C  |             RICH_s4  |             SphericalMirror3C  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |      2700*mm 2701*mm 145.75*deg 11.25*deg 99.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        TiltedPlane1  |             RICH_s4  |                  TiltedPlane1  |                               0*mm 0*mm -525.0*mm  |                     30*deg 0*deg 40*deg  | 696277   |                 Box  |                                  3000.0*mm 3000.0*mm 280*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
