atof.sector0.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector0.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer0.layer0.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
