              ft_trk  |              bankid  |                                    ft_trk bank ID  |  700   |                  Di  
              ft_trk  |              sector  |                                       sector (=1)  |    1   |                  Di  
              ft_trk  |               layer  |                                       layer (1-4)  |    2   |                  Di  
              ft_trk  |           component  |                                            strips  |    3   |                  Di  
              ft_trk  |           ADC_order  |                                          always 0  |    4   |                  Di  
              ft_trk  |             ADC_ADC  |                                       ADC maximum  |    5   |                  Di  
              ft_trk  |            ADC_time  |                               time from pulse fit  |    6   |                  Dd  
              ft_trk  |             ADC_ped  |                      pedestal from pulse analysis  |    7   |                  Di  
              ft_trk  |        ADC_integral  |                 ADC integral (sum over the pulse)  |    8   |                  Di  
              ft_trk  |       ADC_timestamp  |                                         timestamp  |    9   |                  Di  
              ft_trk  |                hitn  |                                        hit number  |   99   |                  Di  
             ft_hodo  |              bankid  |                                   ft_hodo bank ID  |  800   |                  Di  
             ft_hodo  |              sector  |                                      sector (1-8)  |    1   |                  Di  
             ft_hodo  |               layer  |                                       layer (1-2)  |    2   |                  Di  
             ft_hodo  |           component  |                                  component number  |    3   |                  Di  
             ft_hodo  |           ADC_order  |                                          always 0  |    4   |                  Di  
             ft_hodo  |             ADC_ADC  |                       ADC integral from pulse fit  |    5   |                  Di  
             ft_hodo  |            ADC_time  |                               time from pulse fit  |    6   |                  Dd  
             ft_hodo  |             ADC_ped  |                      pedestal from pulse analysis  |    7   |                  Di  
             ft_hodo  |                hitn  |                                        hit number  |   99   |                  Di  
              ft_cal  |              bankid  |                                    ft_cal bank ID  |  900   |                  Di  
              ft_cal  |              sector  |                                       sector (=1)  |    1   |                  Di  
              ft_cal  |               layer  |                                        layer (=1)  |    2   |                  Di  
              ft_cal  |           component  |                                           crystal  |    3   |                  Di  
              ft_cal  |           ADC_order  |                                          always 0  |    4   |                  Di  
              ft_cal  |             ADC_ADC  |                       ADC integral from pulse fit  |    5   |                  Di  
              ft_cal  |            ADC_time  |                               time from pulse fit  |    6   |                  Dd  
              ft_cal  |             ADC_ped  |                      pedestal from pulse analysis  |    7   |                  Di  
              ft_cal  |                hitn  |                                        hit number  |   99   |                  Di  
