                ltcc  |              bankid  |                                      ltcc bank ID  | 1400   |                  Di  
                ltcc  |              sector  |                                      sector (1-6)  |    1   |                  Di  
                ltcc  |               layer  |                              half sector (1 or 2)  |    2   |                  Di  
                ltcc  |           component  |                                        pmt (1-18)  |    3   |                  Di  
                ltcc  |           ADC_order  |                                          always 0  |    4   |                  Di  
                ltcc  |             ADC_ADC  |                       ADC integral from pulse fit  |    5   |                  Di  
                ltcc  |            ADC_time  |                               time from pulse fit  |    6   |                  Dd  
                ltcc  |             ADC_ped  |                      pedestal from pulse analysis  |    7   |                  Di  
                ltcc  |           TDC_order  |                                          always 0  |    8   |                  Di  
                ltcc  |             TDC_TDC  |                                         TDC value  |    9   |                  Di  
                ltcc  |                hitn  |                                        hit number  |   99   |                  Di  
