             pcal_s1  |                  fc  |         Preshower Calorimeter  |                209.8372072*cm 0*cm 682.4175772*cm  |        ordered: zxy 90*deg 25*deg 0*deg  | ff1111   |              G4Trap  |14.9118*cm 0*rad 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
             pcal_s2  |                  fc  |         Preshower Calorimeter  |      104.9186036*cm 181.7243521*cm 682.4175772*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | ff1111   |              G4Trap  |14.9118*cm 0*rad 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
             pcal_s3  |                  fc  |         Preshower Calorimeter  |     -104.9186036*cm 181.7243521*cm 682.4175772*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | ff1111   |              G4Trap  |14.9118*cm 0*rad 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
             pcal_s4  |                  fc  |         Preshower Calorimeter  |               -209.8372072*cm 0*cm 682.4175772*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | ff1111   |              G4Trap  |14.9118*cm 0*rad 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
             pcal_s5  |                  fc  |         Preshower Calorimeter  |    -104.9186036*cm -181.7243521*cm 682.4175772*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | ff1111   |              G4Trap  |14.9118*cm 0*rad 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
             pcal_s6  |                  fc  |         Preshower Calorimeter  |     104.9186036*cm -181.7243521*cm 682.4175772*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | ff1111   |              G4Trap  |14.9118*cm 0*rad 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad 192.6750353*cm 0.000001*cm 197.15*cm 0*rad  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_1_s1  |             pcal_s1  |Preshower Calorimeter lead layer 1  |                              0*cm 0*cm -8.2238*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_2_s1  |             pcal_s1  |Preshower Calorimeter lead layer 2  |                              0*cm 0*cm -6.9586*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_3_s1  |             pcal_s1  |Preshower Calorimeter lead layer 3  |                              0*cm 0*cm -5.6934*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_4_s1  |             pcal_s1  |Preshower Calorimeter lead layer 4  |                              0*cm 0*cm -4.4282*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     4   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_5_s1  |             pcal_s1  |Preshower Calorimeter lead layer 5  |                               0*cm 0*cm -3.163*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     5   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_6_s1  |             pcal_s1  |Preshower Calorimeter lead layer 6  |                              0*cm 0*cm -1.8978*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     6   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_7_s1  |             pcal_s1  |Preshower Calorimeter lead layer 7  |                              0*cm 0*cm -0.6326*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     7   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_8_s1  |             pcal_s1  |Preshower Calorimeter lead layer 8  |                               0*cm 0*cm 0.6326*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     8   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_9_s1  |             pcal_s1  |Preshower Calorimeter lead layer 9  |                               0*cm 0*cm 1.8978*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     9   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_10_s1  |             pcal_s1  |Preshower Calorimeter lead layer 10  |                                0*cm 0*cm 3.163*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    10   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_11_s1  |             pcal_s1  |Preshower Calorimeter lead layer 11  |                               0*cm 0*cm 4.4282*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    11   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_12_s1  |             pcal_s1  |Preshower Calorimeter lead layer 12  |                               0*cm 0*cm 5.6934*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    12   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_13_s1  |             pcal_s1  |Preshower Calorimeter lead layer 13  |                               0*cm 0*cm 6.9586*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    13   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_14_s1  |             pcal_s1  |Preshower Calorimeter lead layer 14  |                               0*cm 0*cm 8.2238*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    14   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_1_s2  |             pcal_s2  |Preshower Calorimeter lead layer 1  |                              0*cm 0*cm -8.2238*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_2_s2  |             pcal_s2  |Preshower Calorimeter lead layer 2  |                              0*cm 0*cm -6.9586*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_3_s2  |             pcal_s2  |Preshower Calorimeter lead layer 3  |                              0*cm 0*cm -5.6934*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_4_s2  |             pcal_s2  |Preshower Calorimeter lead layer 4  |                              0*cm 0*cm -4.4282*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     4   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_5_s2  |             pcal_s2  |Preshower Calorimeter lead layer 5  |                               0*cm 0*cm -3.163*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     5   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_6_s2  |             pcal_s2  |Preshower Calorimeter lead layer 6  |                              0*cm 0*cm -1.8978*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     6   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_7_s2  |             pcal_s2  |Preshower Calorimeter lead layer 7  |                              0*cm 0*cm -0.6326*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     7   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_8_s2  |             pcal_s2  |Preshower Calorimeter lead layer 8  |                               0*cm 0*cm 0.6326*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     8   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_9_s2  |             pcal_s2  |Preshower Calorimeter lead layer 9  |                               0*cm 0*cm 1.8978*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     9   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_10_s2  |             pcal_s2  |Preshower Calorimeter lead layer 10  |                                0*cm 0*cm 3.163*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    10   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_11_s2  |             pcal_s2  |Preshower Calorimeter lead layer 11  |                               0*cm 0*cm 4.4282*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    11   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_12_s2  |             pcal_s2  |Preshower Calorimeter lead layer 12  |                               0*cm 0*cm 5.6934*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    12   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_13_s2  |             pcal_s2  |Preshower Calorimeter lead layer 13  |                               0*cm 0*cm 6.9586*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    13   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_14_s2  |             pcal_s2  |Preshower Calorimeter lead layer 14  |                               0*cm 0*cm 8.2238*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |    14   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
PCAL_Lead_Layer_1_s3  |             pcal_s3  |Preshower Calorimeter lead layer 1  |                              0*cm 0*cm -8.2238*cm  |                                   0 0 0  | 66ff33   |              G4Trap  |0.1075*cm 0*rad 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad 192.6250353*cm 0.000001*cm 197.100001*cm 0*rad  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
