           RICH_s4 |       fc | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
          Aluminum |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
              CFRP |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
    TedlarWrapping |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
     MirrorSupport |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_1 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_2 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_3 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_4 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_5 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_6 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_7 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_8 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_9 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_10 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_11 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_12 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_13 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_14 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_15 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_201_component_16 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_1 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_2 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_3 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_4 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_5 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_6 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_7 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_8 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_9 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_10 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_11 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_12 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_13 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_14 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_15 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_16 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_17 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_18 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_19 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_20 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_21 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_202_component_22 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_1 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_2 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_3 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_4 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_5 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_6 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_7 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_8 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_9 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_10 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_11 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_12 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_13 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_14 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_15 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_16 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
Layer_203_component_17 |  RICH_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Stl |  | 
