        rtpc_central  |                root  |         Main detector of RTPC  |                                             0 0 0  |                                   0 0 0  | fad1a0   |                Tube  |               3.06309*mm 214.2*mm 224.6738*mm 0*deg 360*deg  |           Component  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
               snout  |                root  |       Helium Extension(Snout)  |                             0*mm 0*mm 524.4698*mm  |                                   0 0 0  | fad1a0   |                Tube  |                   0*mm 19.81201*mm 299.896*mm 0*deg 360*deg  |           Component  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
            rtpc_sum  |                root  |The union of the central and snout  |                                             0 0 0  |                                   0 0 0  | fad1a0   |Operation:@ rtpc_central + snout  |                                                           0  |           Component  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
     overlap_target1  |                root  |The overlap region between snout and the target  |                             0*mm 0*mm 240.6169*mm  |                                   0 0 0  | fad1a0   |                Tube  |                     0*mm 3.0631*mm 15.9431*mm 0*deg 360*deg  |           Component  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
     overlap_target2  |                root  |The overlap region between snout and the target  |                            0*mm 0*mm 254.61005*mm  |                                   0 0 0  | fad1a0   |                Tube  |                    0*mm 3.16311*mm 2.05006*mm 0*deg 360*deg  |           Component  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
      overlap_target  |                root  |The overlap region between snout and the target  |                             0*mm 0*mm 240.6669*mm  |                                   0 0 0  | fad1a0   |Operation:@ overlap_target1 + overlap_target2  |                                                           0  |           Component  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
                rtpc  |                root  | Radial Time Projecion Chamber  |                                  0*mm 0*mm -30*mm  |                                   0 0 0  | fad1a0   |Operation:@ rtpc_sum - overlap_target  |                                                           0  |            BONuSGas  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
             layer_1  |                rtpc  |                       Layer 1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | aaaaff   |                Tube  |                        20*mm 20.006*mm 200*mm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             layer_2  |                rtpc  |                       Layer 2  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | aaaaff   |                Tube  |                        30*mm 30.006*mm 200*mm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        buffer_layer  |                rtpc  |                 Buffer volume  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | f0f8ff   |                Tube  |                   3.0631*mm 19.9999*mm 200*mm 0*deg 360*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       buffer2_layer  |                rtpc  |                 Buffer volume  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | e0ffff   |                Tube  |                  20.0061*mm 29.9999*mm 200*mm 0*deg 360*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
sensitive_drift_volume  |                rtpc  |        Sensitive drift volume  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ff8894   |                Tube  |                  30.0061*mm 69.9999*mm 200*mm 0*deg 360*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                rtpc  |                rtpc  |                                      no 
  gem_seam0_region_0  |                rtpc  |            gem_seam0_region_0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 661122   |                Tube  |                70*mm 70.1*mm 200*mm 358.7751*deg 1.2249*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  gem_seam0_region_1  |                rtpc  |            gem_seam0_region_1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 661122   |                Tube  |                  70*mm 70.1*mm 200*mm 0.0001*deg 1.2249*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       gem_0_layer_0  |                rtpc  |                 gem_0_layer_0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 330099   |                Tube  |                 70*mm 70.005*mm 200*mm 1.225*deg 357.55*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       gem_0_layer_1  |                rtpc  |                 gem_0_layer_1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 661122   |                Tube  |           70.0051*mm 70.0551*mm 200*mm 1.225*deg 357.55*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       gem_0_layer_2  |                rtpc  |                 gem_0_layer_2  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 330099   |                Tube  |           70.0552*mm 70.0602*mm 200*mm 1.225*deg 357.55*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      trans_volume_0  |                rtpc  |             transfer volume 0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | baf7fc   |                Tube  |           70.0603*mm 72.9999*mm 200*mm 1.225*deg 357.55*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
trans_volume_0_seam0  |                rtpc  |  transfer volume 0 seam part0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | baf7fc   |                Tube  |        70.1001*mm 72.9999*mm 200*mm 358.7751*deg 1.2249*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
trans_volume_0_seam1  |                rtpc  |  transfer volume 0 seam part1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | baf7fc   |                Tube  |          70.1001*mm 72.9999*mm 200*mm 0.0001*deg 1.2249*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  gem_seam1_region_0  |                rtpc  |            gem_seam1_region_0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 661122   |                Tube  |                73*mm 73.1*mm 200*mm 358.7751*deg 1.2249*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  gem_seam1_region_1  |                rtpc  |            gem_seam1_region_1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 661122   |                Tube  |                  73*mm 73.1*mm 200*mm 0.0001*deg 1.2249*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       gem_1_layer_0  |                rtpc  |                 gem_1_layer_0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 330099   |                Tube  |                 73*mm 73.005*mm 200*mm 1.225*deg 357.55*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       gem_1_layer_1  |                rtpc  |                 gem_1_layer_1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 661122   |                Tube  |           73.0051*mm 73.0551*mm 200*mm 1.225*deg 357.55*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       gem_1_layer_2  |                rtpc  |                 gem_1_layer_2  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 330099   |                Tube  |           73.0552*mm 73.0602*mm 200*mm 1.225*deg 357.55*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      trans_volume_1  |                rtpc  |             transfer volume 1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | baf7fc   |                Tube  |           73.0603*mm 75.9999*mm 200*mm 1.225*deg 357.55*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
trans_volume_1_seam0  |                rtpc  |  transfer volume 1 seam part0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | baf7fc   |                Tube  |        73.1001*mm 75.9999*mm 200*mm 358.7751*deg 1.2249*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
trans_volume_1_seam1  |                rtpc  |  transfer volume 1 seam part1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | baf7fc   |                Tube  |          73.1001*mm 75.9999*mm 200*mm 0.0001*deg 1.2249*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  gem_seam2_region_0  |                rtpc  |            gem_seam2_region_0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 661122   |                Tube  |                76*mm 76.1*mm 200*mm 358.7751*deg 1.2249*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  gem_seam2_region_1  |                rtpc  |            gem_seam2_region_1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 661122   |                Tube  |                  76*mm 76.1*mm 200*mm 0.0001*deg 1.2249*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       gem_2_layer_0  |                rtpc  |                 gem_2_layer_0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 330099   |                Tube  |                 76*mm 76.005*mm 200*mm 1.225*deg 357.55*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       gem_2_layer_1  |                rtpc  |                 gem_2_layer_1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 661122   |                Tube  |           76.0051*mm 76.0551*mm 200*mm 1.225*deg 357.55*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       gem_2_layer_2  |                rtpc  |                 gem_2_layer_2  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 330099   |                Tube  |           76.0552*mm 76.0602*mm 200*mm 1.225*deg 357.55*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      trans_volume_2  |                rtpc  |             transfer volume 2  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | baf7fc   |                Tube  |           76.0603*mm 78.9999*mm 200*mm 1.225*deg 357.55*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
trans_volume_2_seam0  |                rtpc  |  transfer volume 2 seam part0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | baf7fc   |                Tube  |        76.1001*mm 78.9999*mm 200*mm 358.7751*deg 1.2249*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
trans_volume_2_seam1  |                rtpc  |  transfer volume 2 seam part1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | baf7fc   |                Tube  |          76.1001*mm 78.9999*mm 200*mm 0.0001*deg 1.2249*deg  |            BONuSGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           pad_layer  |                rtpc  |             Readout pad layer  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | aaafff   |                Tube  |                   79*mm 79.2794*mm 207.985*mm 1*deg 358*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           pad_seam0  |                rtpc  |             Readout pad seam0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 330011   |                Tube  |         79*mm 79.2794*mm 207.985*mm 359.0001*deg 0.9999*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           pad_seam1  |                rtpc  |             Readout pad seam1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 330011   |                Tube  |                79*mm 79.2794*mm 207.985*mm 0*deg 0.9999*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           ers_layer  |                rtpc  |  Electronics/Ribs/Spine layer  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ffd56f   |                Tube  |              79.2795*mm 84.2795*mm 207.985*mm 0*deg 360*deg  |                 ERS  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_0  |                rtpc  |                       board_0  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |  122.3797*mm 214.1797*mm 200*mm 0*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_1  |                rtpc  |                       board_1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |  122.3797*mm 214.1797*mm 200*mm 8*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_2  |                rtpc  |                       board_2  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 16*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_3  |                rtpc  |                       board_3  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 24*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_4  |                rtpc  |                       board_4  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 32*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_5  |                rtpc  |                       board_5  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 40*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_6  |                rtpc  |                       board_6  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 48*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_7  |                rtpc  |                       board_7  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 56*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_8  |                rtpc  |                       board_8  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 64*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             board_9  |                rtpc  |                       board_9  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 72*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_10  |                rtpc  |                      board_10  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 80*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_11  |                rtpc  |                      board_11  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 88*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_12  |                rtpc  |                      board_12  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  | 122.3797*mm 214.1797*mm 200*mm 96*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_13  |                rtpc  |                      board_13  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 104*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_14  |                rtpc  |                      board_14  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 112*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_15  |                rtpc  |                      board_15  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 120*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_16  |                rtpc  |                      board_16  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 128*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_17  |                rtpc  |                      board_17  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 136*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_18  |                rtpc  |                      board_18  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 144*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_19  |                rtpc  |                      board_19  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 152*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_20  |                rtpc  |                      board_20  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 160*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            board_21  |                rtpc  |                      board_21  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | ace4d2   |                Tube  |122.3797*mm 214.1797*mm 200*mm 168*deg 0.153641067682799*deg  |                 PCB  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
