             PolTarg  |                root  |                PolTarg Region  |                                             0 0 0  |                                   0 0 0  |aaaaaa9   |                Tube  |                             0*mm 44*mm 130*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         LHeVoidFill  |             PolTarg  |      LHe between target cells  |                                          0 0 0*mm  |                                   0 0 0  | 0000ff   |                Tube  |                           0*mm 10*mm 14.97*mm 0*deg 360*deg  |          lHeCoolant  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             NH3Targ  |             PolTarg  |      Upstream NH3 target cell  |                                        0 0 -25*mm  |                                   0 0 0  | f000f0   |                Tube  |                            0*mm 10*mm 9.96*mm 0*deg 360*deg  |           NH3target  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
              NH3Cup  |             PolTarg  |       Upstream NH3 Target cup  |                                        0 0 -25*mm  |                                   0 0 0  | ffffff   |                Tube  |                   10.0001*mm 10.03*mm 9.75*mm 0*deg 360*deg  |    AmmoniaCellWalls  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        NH3CupDSRing  |             PolTarg  |Upstream NH3 Target cup downstream Ring  |                                        0 0 -35*mm  |                                   0 0 0  | ffffff   |                Tube  |                   10.0001*mm 11.43*mm 0.25*mm 0*deg 360*deg  |    AmmoniaCellWalls  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        NH3CupUSRing  |             PolTarg  |Upstream NH3 Target cup Upstream Ring  |                                        0 0 -15*mm  |                                   0 0 0  | ffffff   |                Tube  |                    10.0001*mm 12.7*mm 0.25*mm 0*deg 360*deg  |    AmmoniaCellWalls  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
NH3CupWindowFrame_20  |             PolTarg  |Upstream NH3 Target cup Window frame  |                                        0 0 -35*mm  |                                   0 0 0  | ffffff   |                Tube  |                    11.44*mm 12.7*mm 1.5875*mm 0*deg 360*deg  |    AmmoniaCellWalls  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   NH3CupUSWindow_20  |             PolTarg  |Upstream NH3 Target cup Upstream Window  |                                        0 0 -35*mm  |                                   0 0 0  | aaaaaa   |                Tube  |                           0*mm 10*mm 0.025*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      NH3CupDSWindow  |             PolTarg  |Upstream NH3 Target cup Downstream Window  |                                        0 0 -15*mm  |                                   0 0 0  | aaaaaa   |                Tube  |                           0*mm 10*mm 0.025*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             ND3Targ  |             PolTarg  |    Downstream ND3 target cell  |                                         0 0 25*mm  |                                   0 0 0  | f000f0   |                Tube  |                            0*mm 10*mm 9.96*mm 0*deg 360*deg  |           ND3target  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
              ND3Cup  |             PolTarg  |     Downstream ND3 Target cup  |                                         0 0 25*mm  |                                   0 0 0  | ffffff   |                Tube  |                   10.0001*mm 10.03*mm 9.75*mm 0*deg 360*deg  |    AmmoniaCellWalls  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        ND3CupDSRing  |             PolTarg  |Downstream ND3 Target cup downstream Ring  |                                         0 0 35*mm  |                                   0 0 0  | ffffff   |                Tube  |                   10.0001*mm 11.43*mm 0.25*mm 0*deg 360*deg  |    AmmoniaCellWalls  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        ND3CupUSRing  |             PolTarg  |Downstrem ND3 Target cup Upstream Ring  |                                         0 0 15*mm  |                                   0 0 0  | ffffff   |                Tube  |                   10.0001*mm 11.43*mm 0.25*mm 0*deg 360*deg  |    AmmoniaCellWalls  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
